"","GEOID2","GEOID","GEO_label","total.x","under_50","from_50_to_75","from_75_to_99","from_100_to_124","from_125_to_149","from_150_to_174","from_175_to_184","from_185_to_199","from_200_up","below_200","fraction_below_200","over_30_under_200","total.y","not_Hispanic_or_Latino","non_HL_white","non_HL_Black","non_HL_AIAN","non_HL_Asian","non_HL_NHOPI","non_HL_other","non_HL_2_plus","HL","HL_white","HL_Black","HL_AIAN","HL_Asian","HL_NHOPI","HL_other","HL_2_plus","percent_white","percent_Black","percent_HL","percent_AIAN","percent_Asian","percent_NHOPI","percent_other"
"1","090010000000","1500000US090010000000","Block Group 0, Census Tract 0, Fairfield County, Connecticut",0,0,0,0,0,0,0,0,0,0,0,0,"no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","090010101011","1500000US090010101011","Block Group 1, Census Tract 101.01, Fairfield County, Connecticut",794,26,17,0,0,0,23,0,0,728,66,0.08312,"no",794,794,748,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0.94207,0,0,0,0.05793,0,0
"3","090010101012","1500000US090010101012","Block Group 2, Census Tract 101.01, Fairfield County, Connecticut",759,7,0,0,14,0,0,0,0,738,21,0.02767,"no",759,759,698,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0.91963,0,0,0,0.08037,0,0
"4","090010101013","1500000US090010101013","Block Group 3, Census Tract 101.01, Fairfield County, Connecticut",1473,12,6,0,0,0,0,58,8,1389,84,0.05703,"no",1484,1446,1415,0,0,0,0,31,0,38,22,0,0,0,0,16,0,0.9535,0,0.02561,0,0,0,0.02089
"5","090010101014","1500000US090010101014","Block Group 4, Census Tract 101.01, Fairfield County, Connecticut",1344,50,0,25,0,7,0,0,6,1256,88,0.06548,"no",1624,1611,1492,5,6,74,0,0,34,13,13,0,0,0,0,0,0,0.91872,0.00308,0.008,0.00369,0.04557,0,0
"6","090010101021","1500000US090010101021","Block Group 1, Census Tract 101.02, Fairfield County, Connecticut",1333,73,0,0,0,13,43,37,0,1167,166,0.12453,"no",1333,1304,1135,40,0,129,0,0,0,29,29,0,0,0,0,0,0,0.85146,0.03001,0.02176,0,0.09677,0,0
"7","090010101022","1500000US090010101022","Block Group 2, Census Tract 101.02, Fairfield County, Connecticut",1568,78,0,0,0,0,0,0,0,1490,78,0.04974,"no",1568,1477,1455,0,0,22,0,0,0,91,48,0,0,0,0,8,35,0.92793,0,0.05804,0,0.01403,0,0
"8","090010101023","1500000US090010101023","Block Group 3, Census Tract 101.02, Fairfield County, Connecticut",1572,27,0,0,12,27,0,0,0,1506,66,0.04198,"no",1575,1477,1443,17,0,0,0,0,17,98,78,0,0,0,0,20,0,0.91619,0.01079,0.06222,0,0,0,0
"9","090010102012","1500000US090010102012","Block Group 2, Census Tract 102.01, Fairfield County, Connecticut",1165,5,0,0,0,17,11,0,23,1109,56,0.04807,"no",1165,1126,1063,0,0,53,0,6,4,39,39,0,0,0,0,0,0,0.91245,0,0.03348,0,0.04549,0,0.00515
"10","090010102013","1500000US090010102013","Block Group 3, Census Tract 102.01, Fairfield County, Connecticut",1131,24,0,6,0,10,18,7,0,1066,65,0.05747,"no",1338,1291,1171,14,0,60,0,0,46,47,24,0,0,0,0,23,0,0.87519,0.01046,0.03513,0,0.04484,0,0
"11","090010102014","1500000US090010102014","Block Group 4, Census Tract 102.01, Fairfield County, Connecticut",932,21,0,0,0,4,13,8,0,886,46,0.04936,"no",932,919,897,0,0,8,0,0,14,13,13,0,0,0,0,0,0,0.96245,0,0.01395,0,0.00858,0,0
"12","090010102021","1500000US090010102021","Block Group 1, Census Tract 102.02, Fairfield County, Connecticut",880,10,0,28,0,0,0,0,0,842,38,0.04318,"no",880,836,788,17,0,20,0,0,11,44,44,0,0,0,0,0,0,0.89545,0.01932,0.05,0,0.02273,0,0
"13","090010102022","1500000US090010102022","Block Group 2, Census Tract 102.02, Fairfield County, Connecticut",3007,61,14,8,34,110,12,0,75,2693,314,0.10442,"no",3007,2904,2598,1,0,277,0,0,28,103,60,0,0,0,0,24,19,0.86398,0.00033,0.03425,0,0.09212,0,0
"14","090010102023","1500000US090010102023","Block Group 3, Census Tract 102.02, Fairfield County, Connecticut",1331,7,0,0,53,10,16,0,0,1245,86,0.06461,"no",1331,1271,1150,12,0,104,0,5,0,60,60,0,0,0,0,0,0,0.86401,0.00902,0.04508,0,0.07814,0,0.00376
"15","090010103001","1500000US090010103001","Block Group 1, Census Tract 103, Fairfield County, Connecticut",733,0,0,0,0,0,0,0,0,733,0,0,"no",733,697,692,0,0,0,0,0,5,36,19,0,0,0,0,0,17,0.94407,0,0.04911,0,0,0,0
"16","090010103002","1500000US090010103002","Block Group 2, Census Tract 103, Fairfield County, Connecticut",1074,10,0,19,0,65,32,0,6,942,132,0.12291,"no",1074,1074,965,0,0,101,0,0,8,0,0,0,0,0,0,0,0,0.89851,0,0,0,0.09404,0,0
"17","090010103003","1500000US090010103003","Block Group 3, Census Tract 103, Fairfield County, Connecticut",710,35,0,0,7,0,0,0,0,668,42,0.05915,"no",710,691,638,0,0,47,0,0,6,19,19,0,0,0,0,0,0,0.89859,0,0.02676,0,0.0662,0,0
"18","090010103004","1500000US090010103004","Block Group 4, Census Tract 103, Fairfield County, Connecticut",731,41,0,0,6,0,0,0,0,684,47,0.0643,"no",731,703,674,0,0,0,0,0,29,28,21,0,0,0,0,7,0,0.92202,0,0.0383,0,0,0,0
"19","090010103005","1500000US090010103005","Block Group 5, Census Tract 103, Fairfield County, Connecticut",872,8,43,0,35,0,0,12,0,774,98,0.11239,"no",872,838,724,0,8,106,0,0,0,34,19,0,0,0,0,15,0,0.83028,0,0.03899,0.00917,0.12156,0,0
"20","090010104001","1500000US090010104001","Block Group 1, Census Tract 104, Fairfield County, Connecticut",902,0,0,8,0,18,15,19,0,842,60,0.06652,"no",902,902,771,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0.85477,0,0,0,0.14523,0,0
"21","090010104002","1500000US090010104002","Block Group 2, Census Tract 104, Fairfield County, Connecticut",1102,22,0,0,58,0,43,0,0,979,123,0.11162,"no",1111,1063,1033,0,0,30,0,0,0,48,37,11,0,0,0,0,0,0.92979,0,0.0432,0,0.027,0,0
"22","090010104003","1500000US090010104003","Block Group 3, Census Tract 104, Fairfield County, Connecticut",1120,0,0,0,0,8,116,0,44,952,168,0.15,"no",1120,1049,987,0,0,0,0,0,62,71,25,0,0,0,0,0,46,0.88125,0,0.06339,0,0,0,0
"23","090010104004","1500000US090010104004","Block Group 4, Census Tract 104, Fairfield County, Connecticut",698,9,0,8,0,9,7,0,0,665,33,0.04728,"no",698,601,601,0,0,0,0,0,0,97,85,0,0,0,0,0,12,0.86103,0,0.13897,0,0,0,0
"24","090010104005","1500000US090010104005","Block Group 5, Census Tract 104, Fairfield County, Connecticut",627,0,0,0,36,10,40,0,0,541,86,0.13716,"no",627,627,627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"25","090010104006","1500000US090010104006","Block Group 6, Census Tract 104, Fairfield County, Connecticut",658,9,0,0,9,8,21,0,0,611,47,0.07143,"no",658,606,544,0,0,39,0,0,23,52,52,0,0,0,0,0,0,0.82675,0,0.07903,0,0.05927,0,0
"26","090010105001","1500000US090010105001","Block Group 1, Census Tract 105, Fairfield County, Connecticut",674,25,0,12,9,13,0,0,0,615,59,0.08754,"no",674,639,554,66,0,0,0,5,14,35,22,0,0,0,0,13,0,0.82196,0.09792,0.05193,0,0,0,0.00742
"27","090010105002","1500000US090010105002","Block Group 2, Census Tract 105, Fairfield County, Connecticut",859,85,82,7,15,0,48,0,19,603,256,0.29802,"no",859,734,436,212,0,54,0,0,32,125,11,0,0,0,0,114,0,0.50757,0.2468,0.14552,0,0.06286,0,0
"28","090010105003","1500000US090010105003","Block Group 3, Census Tract 105, Fairfield County, Connecticut",730,26,57,0,12,0,19,11,0,605,125,0.17123,"no",730,623,493,20,0,110,0,0,0,107,93,0,0,0,0,14,0,0.67534,0.0274,0.14658,0,0.15068,0,0
"29","090010105004","1500000US090010105004","Block Group 4, Census Tract 105, Fairfield County, Connecticut",756,36,0,49,4,24,0,9,0,634,122,0.16138,"no",761,580,485,0,0,39,0,45,11,181,114,0,0,0,0,67,0,0.63732,0,0.23784,0,0.05125,0,0.05913
"30","090010105005","1500000US090010105005","Block Group 5, Census Tract 105, Fairfield County, Connecticut",1050,0,0,7,120,22,80,93,133,595,455,0.43333,"yes",1050,848,532,270,0,0,0,0,46,202,160,0,0,0,0,42,0,0.50667,0.25714,0.19238,0,0,0,0
"31","090010105006","1500000US090010105006","Block Group 6, Census Tract 105, Fairfield County, Connecticut",1567,37,4,16,24,59,38,33,26,1330,237,0.15124,"no",1567,1473,1420,53,0,0,0,0,0,94,94,0,0,0,0,0,0,0.90619,0.03382,0.05999,0,0,0,0
"32","090010106001","1500000US090010106001","Block Group 1, Census Tract 106, Fairfield County, Connecticut",637,44,0,45,11,7,14,20,0,496,141,0.22135,"no",644,599,516,37,0,46,0,0,0,45,32,0,0,0,0,13,0,0.80124,0.05745,0.06988,0,0.07143,0,0
"33","090010106002","1500000US090010106002","Block Group 2, Census Tract 106, Fairfield County, Connecticut",461,19,0,0,6,17,0,0,0,419,42,0.09111,"no",461,392,366,0,0,15,0,0,11,69,11,6,0,0,0,16,36,0.79393,0,0.14967,0,0.03254,0,0
