GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08
Id,Id2,Geography,Total:,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races
1500000US090010000000,090010000000,"Block Group 0, Census Tract 0, Fairfield County, Connecticut",0,0,0,0,0,0,0,0
1500000US090010101011,090010101011,"Block Group 1, Census Tract 101.01, Fairfield County, Connecticut",794,748,0,0,46,0,0,0
1500000US090010101012,090010101012,"Block Group 2, Census Tract 101.01, Fairfield County, Connecticut",759,698,0,0,61,0,0,0
1500000US090010101013,090010101013,"Block Group 3, Census Tract 101.01, Fairfield County, Connecticut",1484,1437,0,0,0,0,47,0
1500000US090010101014,090010101014,"Block Group 4, Census Tract 101.01, Fairfield County, Connecticut",1624,1505,5,6,74,0,0,34
1500000US090010101021,090010101021,"Block Group 1, Census Tract 101.02, Fairfield County, Connecticut",1333,1164,40,0,129,0,0,0
1500000US090010101022,090010101022,"Block Group 2, Census Tract 101.02, Fairfield County, Connecticut",1568,1503,0,0,22,0,8,35
1500000US090010101023,090010101023,"Block Group 3, Census Tract 101.02, Fairfield County, Connecticut",1575,1521,17,0,0,0,20,17
1500000US090010102012,090010102012,"Block Group 2, Census Tract 102.01, Fairfield County, Connecticut",1165,1102,0,0,53,0,6,4
1500000US090010102013,090010102013,"Block Group 3, Census Tract 102.01, Fairfield County, Connecticut",1338,1195,14,0,60,0,23,46
1500000US090010102014,090010102014,"Block Group 4, Census Tract 102.01, Fairfield County, Connecticut",932,910,0,0,8,0,0,14
1500000US090010102021,090010102021,"Block Group 1, Census Tract 102.02, Fairfield County, Connecticut",880,832,17,0,20,0,0,11
1500000US090010102022,090010102022,"Block Group 2, Census Tract 102.02, Fairfield County, Connecticut",3007,2658,1,0,277,0,24,47
1500000US090010102023,090010102023,"Block Group 3, Census Tract 102.02, Fairfield County, Connecticut",1331,1210,12,0,104,0,5,0
1500000US090010103001,090010103001,"Block Group 1, Census Tract 103, Fairfield County, Connecticut",733,711,0,0,0,0,0,22
1500000US090010103002,090010103002,"Block Group 2, Census Tract 103, Fairfield County, Connecticut",1074,965,0,0,101,0,0,8
1500000US090010103003,090010103003,"Block Group 3, Census Tract 103, Fairfield County, Connecticut",710,657,0,0,47,0,0,6
1500000US090010103004,090010103004,"Block Group 4, Census Tract 103, Fairfield County, Connecticut",731,695,0,0,0,0,7,29
1500000US090010103005,090010103005,"Block Group 5, Census Tract 103, Fairfield County, Connecticut",872,743,0,8,106,0,15,0
1500000US090010104001,090010104001,"Block Group 1, Census Tract 104, Fairfield County, Connecticut",902,771,0,0,131,0,0,0
1500000US090010104002,090010104002,"Block Group 2, Census Tract 104, Fairfield County, Connecticut",1111,1070,11,0,30,0,0,0
