GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15,VD16,VD17
Id,Id2,Geography,Total:,Not Hispanic or Latino:,Not Hispanic or Latino: - White alone,Not Hispanic or Latino: - Black or African American alone,Not Hispanic or Latino: - American Indian and Alaska Native alone,Not Hispanic or Latino: - Asian alone,Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Not Hispanic or Latino: - Some other race alone,Not Hispanic or Latino: - Two or more races,Hispanic or Latino:,Hispanic or Latino: - White alone,Hispanic or Latino: - Black or African American alone,Hispanic or Latino: - American Indian and Alaska Native alone,Hispanic or Latino: - Asian alone,Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Hispanic or Latino: - Some other race alone,Hispanic or Latino: - Two or more races
1500000US090010000000,090010000000,"Block Group 0, Census Tract 0, Fairfield County, Connecticut",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US090010101011,090010101011,"Block Group 1, Census Tract 101.01, Fairfield County, Connecticut",794,794,748,0,0,46,0,0,0,0,0,0,0,0,0,0,0
1500000US090010101012,090010101012,"Block Group 2, Census Tract 101.01, Fairfield County, Connecticut",759,759,698,0,0,61,0,0,0,0,0,0,0,0,0,0,0
1500000US090010101013,090010101013,"Block Group 3, Census Tract 101.01, Fairfield County, Connecticut",1484,1446,1415,0,0,0,0,31,0,38,22,0,0,0,0,16,0
1500000US090010101014,090010101014,"Block Group 4, Census Tract 101.01, Fairfield County, Connecticut",1624,1611,1492,5,6,74,0,0,34,13,13,0,0,0,0,0,0
1500000US090010101021,090010101021,"Block Group 1, Census Tract 101.02, Fairfield County, Connecticut",1333,1304,1135,40,0,129,0,0,0,29,29,0,0,0,0,0,0
1500000US090010101022,090010101022,"Block Group 2, Census Tract 101.02, Fairfield County, Connecticut",1568,1477,1455,0,0,22,0,0,0,91,48,0,0,0,0,8,35
1500000US090010101023,090010101023,"Block Group 3, Census Tract 101.02, Fairfield County, Connecticut",1575,1477,1443,17,0,0,0,0,17,98,78,0,0,0,0,20,0
1500000US090010102012,090010102012,"Block Group 2, Census Tract 102.01, Fairfield County, Connecticut",1165,1126,1063,0,0,53,0,6,4,39,39,0,0,0,0,0,0
1500000US090010102013,090010102013,"Block Group 3, Census Tract 102.01, Fairfield County, Connecticut",1338,1291,1171,14,0,60,0,0,46,47,24,0,0,0,0,23,0
1500000US090010102014,090010102014,"Block Group 4, Census Tract 102.01, Fairfield County, Connecticut",932,919,897,0,0,8,0,0,14,13,13,0,0,0,0,0,0
1500000US090010102021,090010102021,"Block Group 1, Census Tract 102.02, Fairfield County, Connecticut",880,836,788,17,0,20,0,0,11,44,44,0,0,0,0,0,0
1500000US090010102022,090010102022,"Block Group 2, Census Tract 102.02, Fairfield County, Connecticut",3007,2904,2598,1,0,277,0,0,28,103,60,0,0,0,0,24,19
1500000US090010102023,090010102023,"Block Group 3, Census Tract 102.02, Fairfield County, Connecticut",1331,1271,1150,12,0,104,0,5,0,60,60,0,0,0,0,0,0
1500000US090010103001,090010103001,"Block Group 1, Census Tract 103, Fairfield County, Connecticut",733,697,692,0,0,0,0,0,5,36,19,0,0,0,0,0,17
1500000US090010103002,090010103002,"Block Group 2, Census Tract 103, Fairfield County, Connecticut",1074,1074,965,0,0,101,0,0,8,0,0,0,0,0,0,0,0
1500000US090010103003,090010103003,"Block Group 3, Census Tract 103, Fairfield County, Connecticut",710,691,638,0,0,47,0,0,6,19,19,0,0,0,0,0,0
1500000US090010103004,090010103004,"Block Group 4, Census Tract 103, Fairfield County, Connecticut",731,703,674,0,0,0,0,0,29,28,21,0,0,0,0,7,0
1500000US090010103005,090010103005,"Block Group 5, Census Tract 103, Fairfield County, Connecticut",872,838,724,0,8,106,0,0,0,34,19,0,0,0,0,15,0
1500000US090010104001,090010104001,"Block Group 1, Census Tract 104, Fairfield County, Connecticut",902,902,771,0,0,131,0,0,0,0,0,0,0,0,0,0,0
1500000US090010104002,090010104002,"Block Group 2, Census Tract 104, Fairfield County, Connecticut",1111,1063,1033,0,0,30,0,0,0,48,37,11,0,0,0,0,0
1500000US090010104003,090010104003,"Block Group 3, Census Tract 104, Fairfield County, Connecticut",1120,1049,987,0,0,0,0,0,62,71,25,0,0,0,0,0,46
1500000US090010104004,090010104004,"Block Group 4, Census Tract 104, Fairfield County, Connecticut",698,601,601,0,0,0,0,0,0,97,85,0,0,0,0,0,12
1500000US090010104005,090010104005,"Block Group 5, Census Tract 104, Fairfield County, Connecticut",627,627,627,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US090010104006,090010104006,"Block Group 6, Census Tract 104, Fairfield County, Connecticut",658,606,544,0,0,39,0,0,23,52,52,0,0,0,0,0,0
1500000US090010105001,090010105001,"Block Group 1, Census Tract 105, Fairfield County, Connecticut",674,639,554,66,0,0,0,5,14,35,22,0,0,0,0,13,0
1500000US090010105002,090010105002,"Block Group 2, Census Tract 105, Fairfield County, Connecticut",859,734,436,212,0,54,0,0,32,125,11,0,0,0,0,114,0
1500000US090010105003,090010105003,"Block Group 3, Census Tract 105, Fairfield County, Connecticut",730,623,493,20,0,110,0,0,0,107,93,0,0,0,0,14,0
1500000US090010105004,090010105004,"Block Group 4, Census Tract 105, Fairfield County, Connecticut",761,580,485,0,0,39,0,45,11,181,114,0,0,0,0,67,0
1500000US090010105005,090010105005,"Block Group 5, Census Tract 105, Fairfield County, Connecticut",1050,848,532,270,0,0,0,0,46,202,160,0,0,0,0,42,0
1500000US090010105006,090010105006,"Block Group 6, Census Tract 105, Fairfield County, Connecticut",1567,1473,1420,53,0,0,0,0,0,94,94,0,0,0,0,0,0
1500000US090010106001,090010106001,"Block Group 1, Census Tract 106, Fairfield County, Connecticut",644,599,516,37,0,46,0,0,0,45,32,0,0,0,0,13,0
1500000US090010106002,090010106002,"Block Group 2, Census Tract 106, Fairfield County, Connecticut",461,392,366,0,0,15,0,0,11,69,11,6,0,0,0,16,36
1500000US090010106003,090010106003,"Block Group 3, Census Tract 106, Fairfield County, Connecticut",930,914,770,16,0,105,0,0,23,16,16,0,0,0,0,0,0
1500000US090010107001,090010107001,"Block Group 1, Census Tract 107, Fairfield County, Connecticut",822,748,655,0,8,81,0,0,4,74,74,0,0,0,0,0,0
1500000US090010107003,090010107003,"Block Group 3, Census Tract 107, Fairfield County, Connecticut",1268,952,735,129,0,69,0,0,19,316,223,2,6,0,0,65,20
1500000US090010107004,090010107004,"Block Group 4, Census Tract 107, Fairfield County, Connecticut",674,670,652,12,0,6,0,0,0,4,4,0,0,0,0,0,0
1500000US090010107006,090010107006,"Block Group 6, Census Tract 107, Fairfield County, Connecticut",1021,933,865,27,0,16,0,8,17,88,70,0,0,0,0,18,0
1500000US090010108001,090010108001,"Block Group 1, Census Tract 108, Fairfield County, Connecticut",737,676,576,5,0,95,0,0,0,61,50,0,0,0,0,0,11
1500000US090010108002,090010108002,"Block Group 2, Census Tract 108, Fairfield County, Connecticut",1084,1064,916,0,0,148,0,0,0,20,9,0,0,0,0,11,0
1500000US090010108003,090010108003,"Block Group 3, Census Tract 108, Fairfield County, Connecticut",926,919,853,0,0,40,0,0,26,7,7,0,0,0,0,0,0
1500000US090010108004,090010108004,"Block Group 4, Census Tract 108, Fairfield County, Connecticut",639,639,591,0,0,48,0,0,0,0,0,0,0,0,0,0,0
1500000US090010109001,090010109001,"Block Group 1, Census Tract 109, Fairfield County, Connecticut",1353,1239,1108,11,0,120,0,0,0,114,54,0,0,0,0,7,53
1500000US090010109002,090010109002,"Block Group 2, Census Tract 109, Fairfield County, Connecticut",1531,1465,1148,53,0,242,0,0,22,66,66,0,0,0,0,0,0
1500000US090010109003,090010109003,"Block Group 3, Census Tract 109, Fairfield County, Connecticut",1036,1001,888,0,0,90,0,9,14,35,35,0,0,0,0,0,0
1500000US090010109004,090010109004,"Block Group 4, Census Tract 109, Fairfield County, Connecticut",892,853,795,7,0,51,0,0,0,39,39,0,0,0,0,0,0
1500000US090010110001,090010110001,"Block Group 1, Census Tract 110, Fairfield County, Connecticut",687,677,602,0,0,75,0,0,0,10,10,0,0,0,0,0,0
1500000US090010110002,090010110002,"Block Group 2, Census Tract 110, Fairfield County, Connecticut",2033,1983,1797,38,0,137,0,0,11,50,29,0,11,0,0,10,0
1500000US090010110004,090010110004,"Block Group 4, Census Tract 110, Fairfield County, Connecticut",920,900,862,0,0,38,0,0,0,20,20,0,0,0,0,0,0
1500000US090010110005,090010110005,"Block Group 5, Census Tract 110, Fairfield County, Connecticut",815,750,735,8,0,0,0,0,7,65,65,0,0,0,0,0,0
1500000US090010110006,090010110006,"Block Group 6, Census Tract 110, Fairfield County, Connecticut",688,688,678,0,0,10,0,0,0,0,0,0,0,0,0,0,0
1500000US090010111001,090010111001,"Block Group 1, Census Tract 111, Fairfield County, Connecticut",1389,1359,1310,0,0,42,0,0,7,30,30,0,0,0,0,0,0
1500000US090010111002,090010111002,"Block Group 2, Census Tract 111, Fairfield County, Connecticut",896,851,851,0,0,0,0,0,0,45,40,0,0,0,0,5,0
1500000US090010111003,090010111003,"Block Group 3, Census Tract 111, Fairfield County, Connecticut",760,741,725,0,0,16,0,0,0,19,19,0,0,0,0,0,0
1500000US090010111004,090010111004,"Block Group 4, Census Tract 111, Fairfield County, Connecticut",1576,1514,1320,0,0,142,0,0,52,62,62,0,0,0,0,0,0
1500000US090010112001,090010112001,"Block Group 1, Census Tract 112, Fairfield County, Connecticut",916,876,840,21,0,15,0,0,0,40,21,0,0,0,0,11,8
1500000US090010112002,090010112002,"Block Group 2, Census Tract 112, Fairfield County, Connecticut",776,718,718,0,0,0,0,0,0,58,15,0,0,0,0,43,0
1500000US090010113001,090010113001,"Block Group 1, Census Tract 113, Fairfield County, Connecticut",1528,1313,1218,22,0,37,0,18,18,215,163,0,0,9,0,10,33
1500000US090010113002,090010113002,"Block Group 2, Census Tract 113, Fairfield County, Connecticut",912,622,531,9,0,55,0,0,27,290,100,0,0,0,0,169,21
1500000US090010113003,090010113003,"Block Group 3, Census Tract 113, Fairfield County, Connecticut",520,456,405,51,0,0,0,0,0,64,64,0,0,0,0,0,0
1500000US090010201001,090010201001,"Block Group 1, Census Tract 201, Fairfield County, Connecticut",1339,1188,786,219,0,105,0,0,78,151,88,0,0,0,0,56,7
1500000US090010201002,090010201002,"Block Group 2, Census Tract 201, Fairfield County, Connecticut",1312,932,424,314,0,107,0,23,64,380,267,14,0,0,0,99,0
1500000US090010201003,090010201003,"Block Group 3, Census Tract 201, Fairfield County, Connecticut",1239,792,240,510,0,24,0,7,11,447,243,0,0,0,9,151,44
1500000US090010202001,090010202001,"Block Group 1, Census Tract 202, Fairfield County, Connecticut",1744,1673,1499,44,0,69,0,0,61,71,65,0,0,0,0,6,0
1500000US090010202002,090010202002,"Block Group 2, Census Tract 202, Fairfield County, Connecticut",1971,1898,1709,145,0,44,0,0,0,73,73,0,0,0,0,0,0
1500000US090010203001,090010203001,"Block Group 1, Census Tract 203, Fairfield County, Connecticut",1618,1531,1442,65,0,0,0,14,10,87,87,0,0,0,0,0,0
1500000US090010203002,090010203002,"Block Group 2, Census Tract 203, Fairfield County, Connecticut",2560,2479,2159,80,0,189,0,41,10,81,49,0,0,0,0,32,0
1500000US090010203003,090010203003,"Block Group 3, Census Tract 203, Fairfield County, Connecticut",1470,1455,1307,49,0,49,0,0,50,15,0,0,0,0,0,0,15
1500000US090010203004,090010203004,"Block Group 4, Census Tract 203, Fairfield County, Connecticut",1627,1621,1529,50,0,42,0,0,0,6,6,0,0,0,0,0,0
1500000US090010204001,090010204001,"Block Group 1, Census Tract 204, Fairfield County, Connecticut",1265,1223,1143,23,0,0,0,11,46,42,31,0,0,0,0,11,0
1500000US090010204002,090010204002,"Block Group 2, Census Tract 204, Fairfield County, Connecticut",2083,2063,1912,41,0,23,0,47,40,20,12,0,0,0,0,8,0
1500000US090010205001,090010205001,"Block Group 1, Census Tract 205, Fairfield County, Connecticut",1251,1207,1114,8,0,0,0,6,79,44,32,0,0,0,0,9,3
1500000US090010205002,090010205002,"Block Group 2, Census Tract 205, Fairfield County, Connecticut",1092,1077,948,7,0,89,24,0,9,15,15,0,0,0,0,0,0
1500000US090010205003,090010205003,"Block Group 3, Census Tract 205, Fairfield County, Connecticut",2764,2653,2468,85,0,55,33,0,12,111,53,11,0,0,0,47,0
1500000US090010206001,090010206001,"Block Group 1, Census Tract 206, Fairfield County, Connecticut",1648,1517,1281,30,0,179,0,0,27,131,81,0,0,0,0,50,0
1500000US090010206002,090010206002,"Block Group 2, Census Tract 206, Fairfield County, Connecticut",1367,1283,1197,68,0,18,0,0,0,84,80,4,0,0,0,0,0
1500000US090010206003,090010206003,"Block Group 3, Census Tract 206, Fairfield County, Connecticut",1647,1564,1411,70,0,58,0,5,20,83,68,0,0,0,0,15,0
1500000US090010207001,090010207001,"Block Group 1, Census Tract 207, Fairfield County, Connecticut",891,891,853,0,0,38,0,0,0,0,0,0,0,0,0,0,0
1500000US090010207002,090010207002,"Block Group 2, Census Tract 207, Fairfield County, Connecticut",819,753,659,0,0,49,0,0,45,66,12,0,0,0,0,0,54
