Company Name,Facility Name,Facility Location,Type of Facility,New or Expansion,Permit Application Number,Permit Number,Permit Type,Pollutants Emitted,Pollutant Volumes,Comments
"AMEC Carting, LLC","AMEC Carting, LLC","1 Crescent Street, Norwalk, CT 06851",Volume Reduction Facility and Transfer Station Permit Modification,expansion,,,,,200 tons per year disposed to 400 tons per year disposed,Plan not submitted in a timely manner (plan and final report submitted at the same time) per the approval letter but approved anyway
Americas Styrenics LLC,Allyn's Point Facility,"1761 Route 12, Gales Ferry, CT 06335",hazardous waste combustion plant,new,,,RCRA Part B,,"9,000,000 Btu/hour input, 9000 cubic feet per minute maximum fuel firing rate, 9.00 MM BTU/hour maximum gross heat input, hazardous waste storage tank volume of 3000 gallons, tank operating capacity of 2,700 gallons, D001 ignitable waste code and D018 waste code as hazardous waste for benzene, only on-site generated waste, used for the combustion of polystyrene-rich materials along with excess recycle material generated from its on-site resin (plastics) manufacturing process is sent to a hazardous waste storage Tank V-1910 and burned on site for energy recovery in a Thermal Treatment Unit (Struthers Wells Boiler or Unit A boiler). Number 2 fuel oil or natural gas may be used for startup or shutdown, to maintain flame during operations, or if no liquid waste feed is available.",
"Anaergia Services, LLC","Bridgeport Bioenergy Facility, LLC","255 Bostwik Avenue, Bridgeport, CT 06605",anaerobic digestion and cogeneration facility,new,,,,,"Anaergia Services, LLC will design, build and operate the Bridgeport Bioenergy Facility, a new anaerobfc digestion and cogeneration facility to generate Class I renewable electricity from wastewater sludge, food scraps and fats, oils. and grease (FOG). The facility will have a maximum electrical output of 1.55 MW and will be located adjacent to the existing West Side Wastewater Treatment Facility 0/VWfF) on 255 Bostwick Ave in Bridgeport, Connecticut. The facility will have two (2) anaerobic digesters, four (4) enclosed mixing tanks, a biogas cleaning (desulphurizatlon) system and a cogeneration system (CHP). The cogeneration system will be equipped with a Selective Catalytic Reduction (SCR) system which minimizes air emission concentrations to levels lower than standards set by the EPA and DEEP. The facility will be operational in the faH of 2015 with construction expected to commence ln the summer of 2014.",
"B.C. Sand and Gravel Co., Inc.","B.C. Sand and Gravel Co., Inc.","482 Housatonic Avenue, Bridgeport, CT 06604",contaminated soil and/or sediment management (staging and transfer),modification,,,,"fugitive dust, uncovered piles",,"Disapproved August 5th, 2016, and required to resubmit"
"BONCAP Recycling, LLC","Boncap Recycling, LLC","400 South Main Street, Plymouth, CT 06872",volume reduction facility and Transfer Station Permit Modification,new,,,"CT volume reduction facility, General Permit for Stormwater Discharge",,,
Bridgeport Mattress Recycling,Bridgeport Mattress Recycling Facility,"459 Iranistan Avenue, Bridgeport, CT 06605",recycling,new,,,,,,
"Can Man Carting, LLC",Limited Processing Recycling Facility,"2 Meadow Street, Norwalk, CT 06854",limited processing recycling facility,new,,,,,,
Central Connecticut Resource Recovery LLC,Central Connecticut Resource Recovery Facility,"65 Triano Drive, Southington, CT 06489","solid waste recycling and recovery (receipt, separation, and processing)",new,, ,,,,
Central Connecticut Resource Recovery LLC,Central Connecticut Resource Recovery Facility,"65 Triano Drive, Southington, CT 06489","solid waste recycling and recovery (receipt, separation, and processing)",expansion,,,,,,expansion
City of Ansonia,Ansonia Transfer Station,"North Division Street, Ansonia, CT 06401",solid waste transfer station,expansion,,,,,,
