"","lon","lat","state","STATE","COUNTY","TRACT","BLKGRP","population.x","P0050001","P0050002","P0050003","P0050004","P0050005","P0050006","P0050007","P0050008","P0050009","P0050010","P0050011","P0050012","P0050013","P0050014","P0050015","P0050016","P0050017","GEOCOMP","SUMLEV","GEOID","NAME","STUSAB","population.y","C17002_001","C17002_002","C17002_003","C17002_004","C17002_005","C17002_006","C17002_007","C17002_008","pct_hisp","pct_nonwhite","pct_black","pct_pov","pct_200_pov","GEOID_LONG"
"1",-73.6799688,41.0537996,"CT","09","001","010101","1",726,726,696,655,2,0,32,0,6,1,30,21,1,1,0,0,4,3,"total","150","090010101011","Block Group 1, Census Tract 101.01, Fairfield County, Connecticut","CT",724,724,0,11,0,0,12,0,701,0.0413223140495868,0.0977961432506887,0.00275482093663912,0.0151933701657459,0.031767955801105,"15000US090010101011"
"2",-73.6691342,41.0442579,"CT","09","001","010101","2",745,745,707,653,7,0,45,0,0,2,38,32,0,0,0,0,6,0,"total","150","090010101012","Block Group 2, Census Tract 101.01, Fairfield County, Connecticut","CT",649,649,0,0,0,43,0,0,606,0.051006711409396,0.123489932885906,0.00939597315436242,0,0.0662557781201849,"15000US090010101012"
"3",-73.6718599,41.0876677,"CT","09","001","010101","3",1485,1485,1420,1340,18,0,50,1,1,10,65,64,0,0,0,0,1,0,"total","150","090010101013","Block Group 3, Census Tract 101.01, Fairfield County, Connecticut","CT",1544,1543,24,64,97,0,10,31,1317,0.0437710437710438,0.0976430976430976,0.0121212121212121,0.0570317563188594,0.146467919637071,"15000US090010101013"
"4",-73.6924441,41.0851565,"CT","09","001","010101","4",1520,1520,1456,1328,26,1,81,0,2,18,64,46,1,0,2,0,12,3,"total","150","090010101014","Block Group 4, Census Tract 101.01, Fairfield County, Connecticut","CT",1196,952,0,36,0,56,9,0,851,0.0421052631578947,0.126315789473684,0.0171052631578947,0.0378151260504202,0.10609243697479,"15000US090010101014"
"5",-73.6160197,41.0926093,"CT","09","001","010102","1",1326,1326,1250,1155,13,0,61,0,2,19,76,73,0,0,1,0,1,1,"total","150","090010101021","Block Group 1, Census Tract 101.02, Fairfield County, Connecticut","CT",1059,1059,0,0,46,0,0,0,1013,0.057315233785822,0.1289592760181,0.00980392156862745,0,0.0434372049102927,"15000US090010101021"
"6",-73.6355642,41.0910981,"CT","09","001","010102","2",1550,1550,1481,1380,14,0,69,0,4,14,69,62,1,0,0,0,0,6,"total","150","090010101022","Block Group 2, Census Tract 101.02, Fairfield County, Connecticut","CT",1859,1859,6,42,0,0,11,9,1791,0.0445161290322581,0.109677419354839,0.00903225806451613,0.0258203335126412,0.036578805809575,"15000US090010101022"
"7",-73.6410992,41.1175951,"CT","09","001","010102","3",1454,1454,1383,1263,19,2,81,0,6,12,71,52,2,1,0,0,16,0,"total","150","090010101023","Block Group 3, Census Tract 101.02, Fairfield County, Connecticut","CT",1626,1622,34,0,32,0,123,2,1431,0.0488308115543329,0.131361760660248,0.0130674002751032,0.0209617755856967,0.117755856966708,"15000US090010101023"
"8",-73.6349429,41.0629753,"CT","09","001","010201","1",1065,1065,1021,948,8,0,46,0,4,15,44,42,0,0,0,0,2,0,"total","150","090010102011","Block Group 1, Census Tract 102.01, Fairfield County, Connecticut","CT",1057,1057,20,6,0,0,0,0,1031,0.0413145539906103,0.109859154929577,0.00751173708920188,0.0245979186376537,0.0245979186376537,"15000US090010102011"
"9",-73.6116223,41.0558039,"CT","09","001","010201","2",1056,1056,970,879,6,0,60,0,2,23,86,71,0,0,2,0,10,3,"total","150","090010102012","Block Group 2, Census Tract 102.01, Fairfield County, Connecticut","CT",983,983,0,45,33,0,8,0,897,0.0814393939393939,0.167613636363636,0.00568181818181818,0.0457782299084435,0.0874872838250254,"15000US090010102012"
"10",-73.620237,41.0642033,"CT","09","001","010201","3",1300,1300,1241,1149,14,0,58,0,0,20,59,40,0,0,0,0,19,0,"total","150","090010102013","Block Group 3, Census Tract 102.01, Fairfield County, Connecticut","CT",1356,1177,34,0,0,0,0,0,1143,0.0453846153846154,0.116153846153846,0.0107692307692308,0.0288870008496177,0.0288870008496177,"15000US090010102013"
"11",-73.5894441,41.0805015,"CT","09","001","010202","1",895,895,854,784,3,0,52,0,0,15,41,31,0,0,0,0,3,7,"total","150","090010102021","Block Group 1, Census Tract 102.02, Fairfield County, Connecticut","CT",833,833,6,10,0,0,0,0,817,0.0458100558659218,0.124022346368715,0.00335195530726257,0.0192076830732293,0.0192076830732293,"15000US090010102021"
"12",-73.5920293,41.0567322,"CT","09","001","010202","2",2400,2400,2160,1857,31,1,212,0,8,51,240,188,3,2,0,0,40,7,"total","150","090010102022","Block Group 2, Census Tract 102.02, Fairfield County, Connecticut","CT",2085,2085,81,20,1,61,49,10,1863,0.1,0.22625,0.0129166666666667,0.0484412470023981,0.106474820143885,"15000US090010102022"
