"","GEOID2_Tex","GEOID","rel_n_2008","rel_n_2016","fac_n_2008","fac_n_2016","rel_diff","fac_diff"
"1",90011003008,"1500000US090011003008",0,0,0,0,0,0
"2",90010112002,"1500000US090010112002",0,0,0,0,0,0
"3",90010113001,"1500000US090010113001",0,0,0,0,0,0
"4",90010113002,"1500000US090010113002",0,0,0,0,0,0
"5",90010113003,"1500000US090010113003",0,0,0,0,0,0
"6",90011001001,"1500000US090011001001",0,0,0,0,0,0
"7",90011001009,"1500000US090011001009",42975.2,0,1,0,-42975.2,-1
"8",90011002003,"1500000US090011002003",0,0,0,0,0,0
"9",90010721001,"1500000US090010721001",0,0,0,0,0,0
"10",90010722002,"1500000US090010722002",0,0,0,0,0,0
"11",90010721003,"1500000US090010721003",0,0,0,0,0,0
"12",90010722001,"1500000US090010722001",0,0,0,0,0,0
"13",90010722003,"1500000US090010722003",0,0,0,0,0,0
"14",90010723003,"1500000US090010723003",0,0,0,0,0,0
"15",90010723001,"1500000US090010723001",0,0,0,0,0,0
"16",90010723002,"1500000US090010723002",0,0,0,0,0,0
"17",90010724001,"1500000US090010724001",0,0,0,0,0,0
"18",90010902003,"1500000US090010902003",0,0,0,0,0,0
"19",90010902002,"1500000US090010902002",0,0,0,0,0,0
"20",90010903003,"1500000US090010903003",0,0,0,0,0,0
"21",90010903004,"1500000US090010903004",0,0,0,0,0,0
"22",90010903001,"1500000US090010903001",0,0,0,0,0,0
"23",90010903002,"1500000US090010903002",0,0,0,0,0,0
"24",90010904001,"1500000US090010904001",0,0,0,0,0,0
"25",90010905003,"1500000US090010905003",0,0,0,0,0,0
"26",90010905004,"1500000US090010905004",0,0,0,0,0,0
"27",90010213001,"1500000US090010213001",0,0,0,0,0,0
"28",90010214003,"1500000US090010214003",0,0,0,0,0,0
"29",90010214005,"1500000US090010214005",0,0,0,0,0,0
"30",90010214002,"1500000US090010214002",0,0,0,0,0,0
"31",90010214001,"1500000US090010214001",0,0,0,0,0,0
"32",90010215004,"1500000US090010215004",0,0,0,0,0,0
"33",90010215002,"1500000US090010215002",0,0,0,0,0,0
"34",90010215003,"1500000US090010215003",0,0,0,0,0,0
"35",90010215001,"1500000US090010215001",0,0,0,0,0,0
"36",90010305001,"1500000US090010305001",0,0,0,0,0,0
"37",90010305004,"1500000US090010305004",0,0,0,0,0,0
"38",90011051009,"1500000US090011051009",0,0,0,0,0,0
"39",90011051001,"1500000US090011051001",0,0,0,0,0,0
"40",90011052009,"1500000US090011052009",0,0,0,0,0,0
"41",90010601002,"1500000US090010601002",0,0,0,0,0,0
"42",90010601001,"1500000US090010601001",0,0,0,0,0,0
"43",90010602001,"1500000US090010602001",0,0,0,0,0,0
"44",90010602002,"1500000US090010602002",0,0,0,0,0,0
"45",90010602003,"1500000US090010602003",0,0,0,0,0,0
"46",90011002002,"1500000US090011002002",0,0,0,0,0,0
"47",90011002001,"1500000US090011002001",0,0,0,0,0,0
"48",90011003009,"1500000US090011003009",0,0,0,0,0,0
"49",90011003001,"1500000US090011003001",0,0,2,2,0,0
"50",90011105002,"1500000US090011105002",0,0,0,0,0,0
"51",90012305006,"1500000US090012305006",0,0,0,0,0,0
"52",90010351005,"1500000US090010351005",0,0,0,0,0,0
"53",90010351001,"1500000US090010351001",0,0,0,0,0,0
"54",90010351003,"1500000US090010351003",0,0,0,0,0,0
"55",90010724002,"1500000US090010724002",0,0,0,0,0,0
"56",90010725004,"1500000US090010725004",0,0,0,0,0,0
"57",90010725001,"1500000US090010725001",0,0,0,0,0,0
"58",90010725003,"1500000US090010725003",0,0,0,0,0,0
"59",90010725002,"1500000US090010725002",0,0,0,0,0,0
"60",90010726003,"1500000US090010726003",0,0,0,0,0,0
"61",90010726005,"1500000US090010726005",0,0,0,0,0,0
"62",90010726002,"1500000US090010726002",0,0,0,0,0,0
"63",90010905001,"1500000US090010905001",322.11,0,1,0,-322.11,-1
"64",90010501002,"1500000US090010501002",0,0,0,0,0,0
"65",90010906001,"1500000US090010906001",0,0,0,0,0,0
"66",90010907009,"1500000US090010907009",0,0,0,0,0,0
"67",90010907002,"1500000US090010907002",0,0,0,0,0,0
"68",90010501001,"1500000US090010501001",0,0,0,0,0,0
"69",90010551002,"1500000US090010551002",0,0,0,0,0,0
"70",90010217005,"1500000US090010217005",0,0,0,0,0,0
"71",90010216003,"1500000US090010216003",0,0,0,0,0,0
"72",90010216004,"1500000US090010216004",0,0,0,0,0,0
"73",90010216002,"1500000US090010216002",0,0,0,0,0,0
"74",90010216001,"1500000US090010216001",0,0,0,0,0,0
"75",90010217002,"1500000US090010217002",0,0,0,0,0,0
"76",90010217004,"1500000US090010217004",0,0,0,0,0,0
"77",90010217003,"1500000US090010217003",0,0,0,0,0,0
"78",90010217001,"1500000US090010217001",0,0,0,0,0,0
"79",90010218023,"1500000US090010218023",0,0,0,0,0,0
"80",90010602004,"1500000US090010602004",0,0,0,0,0,0
"81",90010603009,"1500000US090010603009",0,0,0,0,0,0
"82",90010603002,"1500000US090010603002",0,0,0,0,0,0
"83",90010603001,"1500000US090010603001",0,0,0,0,0,0
"84",90010604002,"1500000US090010604002",0,0,0,0,0,0
"85",90010351004,"1500000US090010351004",0,0,0,0,0,0
"86",90010351002,"1500000US090010351002",0,0,0,0,0,0
"87",90010352002,"1500000US090010352002",0,0,0,0,0,0
"88",90012201004,"1500000US090012201004",0,0,0,0,0,0
"89",90010352001,"1500000US090010352001",0,0,0,0,0,0
"90",90010353002,"1500000US090010353002",0,0,0,0,0,0
"91",90010354003,"1500000US090010354003",0,0,0,0,0,0
"92",90010726004,"1500000US090010726004",0,0,0,0,0,0
"93",90010726001,"1500000US090010726001",0,0,0,0,0,0
"94",90010727001,"1500000US090010727001",0,0,0,0,0,0
"95",90010727003,"1500000US090010727003",0,0,0,0,0,0
"96",90010727002,"1500000US090010727002",0,0,0,0,0,0
"97",90010728002,"1500000US090010728002",0,0,0,0,0,0
"98",90010551003,"1500000US090010551003",0,0,0,0,0,0
"99",90010551001,"1500000US090010551001",0,0,0,0,0,0
"100",90010552001,"1500000US090010552001",0,0,0,0,0,0
"101",90010552002,"1500000US090010552002",0,0,0,0,0,0
"102",90010552003,"1500000US090010552003",0,0,0,0,0,0
"103",90010501003,"1500000US090010501003",0,0,0,0,0,0
"104",90010502001,"1500000US090010502001",0,0,0,0,0,0
"105",90010502003,"1500000US090010502003",0,0,0,0,0,0
"106",90010502002,"1500000US090010502002",0,0,0,0,0,0
"107",90010218022,"1500000US090010218022",72.91,0,1,0,-72.91,-1
"108",90010218012,"1500000US090010218012",0,0,0,0,0,0
"109",90010218011,"1500000US090010218011",0,0,0,0,0,0
"110",90010219003,"1500000US090010219003",0,0,0,0,0,0
"111",90010219004,"1500000US090010219004",0,0,0,0,0,0
"112",90010219001,"1500000US090010219001",0,0,0,0,0,0
"113",90010219002,"1500000US090010219002",0,0,0,0,0,0
"114",90010604001,"1500000US090010604001",0,0,0,0,0,0
"115",90010604004,"1500000US090010604004",0,0,0,0,0,0
"116",90010604009,"1500000US090010604009",0,0,0,0,0,0
"117",90010604003,"1500000US090010604003",0,0,0,0,0,0
"118",90010605001,"1500000US090010605001",0,0,0,0,0,0
"119",90010354001,"1500000US090010354001",0,0,0,0,0,0
"120",90010354002,"1500000US090010354002",0,0,0,0,0,0
"121",90010354009,"1500000US090010354009",0,0,0,0,0,0
"122",90012201001,"1500000US090012201001",0,0,0,0,0,0
"123",90012201002,"1500000US090012201002",0,0,0,0,0,0
