FID,STATEFP00,COUNTYFP00,TRACTCE00,BLKGRPCE00,BKGPIDFP00,NAMELSAD00,MTFCC00,FUNCSTAT00,ALAND00,AWATER00,INTPTLAT00,INTPTLON00,OID_,Field1,GEOID,GEO_label,total_x,under_50,from_50_to,from_75_to,from_100_t,from_125_t,from_150_t,from_175_t,from_185_t,from_200_u,below_200,fraction_b,over_30_un,total_y,not_Hispan,non_HL_whi,non_HL_Bla,non_HL_AIA,non_HL_Asi,non_HL_NHO,non_HL_oth,non_HL_2_p,HL,HL_white,HL_Black,HL_AIAN,HL_Asian,HL_NHOPI,HL_other,HL_2_plus,percent_wh,percent_Bl,percent_HL,percent_AI,percent_As,percent_NH,percent_ot,GEOID2_Tex
0,09,001,100300,8,090011003008,Block Group 8,G5030,S,4200762.000000000000000,0.000000000000000,+41.3433513,-073.1927151,501,502,1500000US090011003008,"Block Group 8, Census Tract 1003, Fairfield County, Connecticut",1729,0,0,0,14,34,0,0,0,1681,48,0,no,1729,1729,1634,12,0,51,0,0,32,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,090011003008
1,09,001,011200,2,090010112002,Block Group 2,G5030,S,1994953.000000000000000,2051867.000000000000000,+41.0057552,-073.6306538,56,57,1500000US090010112002,"Block Group 2, Census Tract 112, Fairfield County, Connecticut",776,38,25,0,7,4,0,0,0,702,74,0,no,776,718,718,0,0,0,0,0,0,58,15,0,0,0,0,43,0,1,0,0,0,0,0,0,090010112002
2,09,001,011300,1,090010113001,Block Group 1,G5030,S,1518635.000000000000000,21530316.000000000000000,+40.9835973,-073.6229588,57,58,1500000US090010113001,"Block Group 1, Census Tract 113, Fairfield County, Connecticut",1528,36,19,22,57,83,9,18,0,1284,244,0,no,1528,1313,1218,22,0,37,0,18,18,215,163,0,0,9,0,10,33,1,0,0,0,0,0,0,090010113001
3,09,001,011300,2,090010113002,Block Group 2,G5030,S,279513.000000000000000,1090.000000000000000,+41.0044531,-073.6523009,58,59,1500000US090010113002,"Block Group 2, Census Tract 113, Fairfield County, Connecticut",912,20,5,29,87,0,96,16,8,651,261,0,no,912,622,531,9,0,55,0,0,27,290,100,0,0,0,0,169,21,1,0,0,0,0,0,0,090010113002
4,09,001,011300,3,090010113003,Block Group 3,G5030,S,125937.000000000000000,10245.000000000000000,+41.0080700,-073.6552755,59,60,1500000US090010113003,"Block Group 3, Census Tract 113, Fairfield County, Connecticut",520,13,0,57,5,0,0,9,0,436,84,0,no,520,456,405,51,0,0,0,0,0,64,64,0,0,0,0,0,0,1,0,0,0,0,0,0,090010113003
5,09,001,100100,1,090011001001,Block Group 1,G5030,S,9736471.000000000000000,26341.000000000000000,+41.3350429,-073.2721727,495,496,1500000US090011001001,"Block Group 1, Census Tract 1001, Fairfield County, Connecticut",3064,0,0,23,43,5,23,16,6,2948,116,0,no,3064,2999,2907,19,0,25,0,11,37,65,65,0,0,0,0,0,0,1,0,0,0,0,0,0,090011001001
6,09,001,100100,9,090011001009,Block Group 9,G5030,S,10933023.000000000000000,0.000000000000000,+41.3084842,-073.2520524,496,497,1500000US090011001009,"Block Group 9, Census Tract 1001, Fairfield County, Connecticut",2416,42,6,0,21,61,0,0,70,2216,200,0,no,2416,2276,2214,6,0,9,0,0,47,140,89,0,0,0,0,51,0,1,0,0,0,0,0,0,090011001009
7,09,001,100200,3,090011002003,Block Group 3,G5030,S,7642138.000000000000000,50866.000000000000000,+41.3296995,-073.2302122,499,500,1500000US090011002003,"Block Group 3, Census Tract 1002, Fairfield County, Connecticut",3279,3,240,23,32,6,26,8,0,2941,338,0,no,3308,3308,3059,219,0,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,090011002003
8,09,001,072100,1,090010721001,Block Group 1,G5030,S,573757.000000000000000,0.000000000000000,+41.1900623,-073.2167285,363,364,1500000US090010721001,"Block Group 1, Census Tract 721, Fairfield County, Connecticut",2182,151,6,32,59,27,107,31,45,1724,458,0,no,2182,1845,1289,230,0,326,0,0,0,337,189,17,0,0,0,78,53,1,0,0,0,0,0,0,090010721001
9,09,001,072200,2,090010722002,Block Group 2,G5030,S,242983.000000000000000,0.000000000000000,+41.1959062,-073.2107174,367,368,1500000US090010722002,"Block Group 2, Census Tract 722, Fairfield County, Connecticut",1095,88,43,32,40,81,31,5,0,775,320,0,no,1095,858,511,220,0,34,0,13,80,237,149,0,0,0,0,76,12,0,0,0,0,0,0,0,090010722002
10,09,001,072100,3,090010721003,Block Group 3,G5030,S,437304.000000000000000,0.000000000000000,+41.1812002,-073.2163319,365,366,1500000US090010721003,"Block Group 3, Census Tract 721, Fairfield County, Connecticut",1881,155,31,46,51,55,132,7,24,1380,501,0,no,1886,1712,1121,402,0,66,0,36,87,174,72,47,10,0,0,45,0,1,0,0,0,0,0,0,090010721003
11,09,001,072200,1,090010722001,Block Group 1,G5030,S,418676.000000000000000,0.000000000000000,+41.2003975,-073.2174981,366,367,1500000US090010722001,"Block Group 1, Census Tract 722, Fairfield County, Connecticut",1645,47,0,0,55,30,47,0,70,1396,249,0,no,1653,1449,1197,112,0,6,0,0,134,204,134,0,0,0,0,70,0,1,0,0,0,0,0,0,090010722001
12,09,001,072200,3,090010722003,Block Group 3,G5030,S,239971.000000000000000,0.000000000000000,+41.1948666,-073.2136640,368,369,1500000US090010722003,"Block Group 3, Census Tract 722, Fairfield County, Connecticut",960,26,15,0,36,53,35,34,19,742,218,0,no,960,761,581,95,0,59,0,0,26,199,78,11,0,0,0,110,0,1,0,0,0,0,0,0,090010722003
13,09,001,072300,3,090010723003,Block Group 3,G5030,S,369097.000000000000000,0.000000000000000,+41.2035730,-073.2127454,371,372,1500000US090010723003,"Block Group 3, Census Tract 723, Fairfield County, Connecticut",1333,45,31,93,0,35,51,43,0,1035,298,0,no,1341,1062,898,123,0,0,0,5,36,279,144,0,0,0,0,105,30,1,0,0,0,0,0,0,090010723003
14,09,001,072300,1,090010723001,Block Group 1,G5030,S,328748.000000000000000,0.000000000000000,+41.2034991,-073.2071735,369,370,1500000US090010723001,"Block Group 1, Census Tract 723, Fairfield County, Connecticut",1941,87,0,5,66,127,77,17,76,1486,455,0,no,2095,1664,949,395,0,124,0,70,126,431,145,15,0,0,0,243,28,0,0,0,0,0,0,0,090010723001
