"","OBJECTID","Join_Count","TARGET_FID","YEAR","TRI_FACILI","FRS_ID","FACILITY_N","STREET_ADD","CITY","COUNTY","ST","ZIP","BIA_CODE","TRIBE","LATITUDE","LONGITUDE","FEDERAL_FA","INDUSTRY_S","INDUSTRY_1","PRIMARY_SI","SIC_2","SIC_3","SIC_4","SIC_5","SIC_6","PRIMARY_NA","NAICS_2","NAICS_3","NAICS_4","NAICS_5","NAICS_6","DOC_CTRL_N","CHEMICAL","CAS___COMP","SRS_ID","CLEAR_AIR_","CLASSIFICA","METAL","METAL_CATE","CARCINOGEN","FORM_TYPE","UNIT_OF_ME","F5_1_FUGITI","F5_2_STACK_","F5_3_WATER","F5_4_UNDERG","F5_4_1_UNDE","F5_4_2_UNDE","F5_5_1_LAND","F5_5_1A_RCR","F5_5_1B_OTH","F5_5_2_LAND","F5_5_3_SURF","F5_5_3A_RCR","F5_5_3B_Oth","F5_5_4_OTHE","ON_SITE_RE","F6_1_POTW_T","F6_1_POTW_1","F6_1_POTW_2","F6_2_M10","F6_2_M41","F6_2_M62","F6_2_M71","F6_2_M81","F6_2_M82","F6_2_M72","F6_2_M63","F6_2_M66","F6_2_M67","F6_2_M64","F6_2_M65","F6_2_M73","F6_2_M79","F6_2_M90","F6_2_M94","F6_2_M99","OFF_SITE_R","F6_2_M20","F6_2_M24","F6_2_M26","F6_2_M28","F6_2_M93","OFF_SITE_1","F6_2_M56","F6_2_M92","OFF_SITE_2","F6_2_M40","F6_2_M50","F6_2_M54","F6_2_M61","F6_2_M69","F6_2_M95","OFF_SITE_T","TOTAL_RELE","F8_1_RELEAS","F8_1A_ON_SI","F8_1B_ON_SI","F8_1C_OFF_S","F8_1D_OFF_S","F8_2_ENERGY","F8_3_ENERGY","F8_4_RECYCL","F8_5_RECYCL","F8_6_TREATM","F8_7_TREATM","PROD__WAST","F8_8_ONE_TI","PROD_RATIO","F8_9_PRODUC","PARENT_COM","PARENT_C_1","Field110","STATEFP00","COUNTYFP00","TRACTCE00","BLKGRPCE00","BKGPIDFP00","NAMELSAD00","MTFCC00","FUNCSTAT00","ALAND00","AWATER00","INTPTLAT00","INTPTLON00","OID_","Field1","GEOID","GEO_label","total_x","under_50","from_50_to","from_75_to","from_100_t","from_125_t","from_150_t","from_175_t","from_185_t","from_200_u","below_200","fraction_b","over_30_un","total_y","not_Hispan","non_HL_whi","non_HL_Bla","non_HL_AIA","non_HL_Asi","non_HL_NHO","non_HL_oth","non_HL_2_p","HL","HL_white","HL_Black","HL_AIAN","HL_Asian","HL_NHOPI","HL_other","HL_2_plus","percent_wh","percent_Bl","percent_HL","percent_AI","percent_As","percent_NH","percent_ot","GEOID2_Tex","STATEFP10","COUNTYFP10","COUSUBFP10","COUSUBNS10","GEOID10","NAME10","NAMELSAD10","LSAD10","CLASSFP10","MTFCC10","CNECTAFP10","NECTAFP10","NCTADVFP10","FUNCSTAT10","ALAND10","AWATER10","INTPTLAT10","INTPTLON10","GEOID_AFF2","GEOID_AFF1","covered_facility","TRUE_TOTAL_RELEASE_POUNDS"
"1",1,0,1,2008,"06492TMSMC358HA",110010337698,"TIMES MICROWAVE SYSTEMS INC","358 HALL AVE","WALLINGFORD","NEW HAVEN","CT",6492,NA,NA,41.46089,-72.83268,"NO",336,"Transportation Equipment",NA,NA,NA,NA,NA,NA,336322,0,NA,0,0,0,1308206746860,"LEAD","007439921",149583,"YES","PBT","YES",1,"YES","R","Pounds",1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0.02,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,89,0,0,0,89,0,0,0,0,0,0,0,0,0,0,2.02,0,0,2,0,0.02,0,0,0,89,0,0,91.02,0,NA,1.16,"AMPHENOL CORP","177220647",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2.02
"2",2,0,2,2008,"06340RWDCR839PO",110000315908,"PCC STRUCTURALS","839 POQUONNOCK RD","GROTON","NEW LONDON","CT",6340,NA,NA,41.34516,-72.05372,"NO",331,"Primary Metals",NA,NA,NA,NA,NA,NA,331512,0,NA,0,0,0,1308206523600,"CHROMIUM","007440473",150060,"YES","TRI","YES",1,"YES","A","Pounds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,"PRECISION CASTPARTS CORP","009027970",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"3",3,0,3,2008,"06787SMMTC1430W",110000317443,"SUMMIT CORP OF AMERICA","1430 WATERBURY RD","THOMASTON","LITCHFIELD","CT",6787,NA,NA,41.62777,-73.06839,"NO",332,"Fabricated Metals",NA,NA,NA,NA,NA,NA,332813,0,NA,0,0,0,1308207062490,"CYANIDE COMPOUNDS","N106",649988,"YES","TRI","NO",0,"NO","R","Pounds",21,399,12.95,0,0,0,0,0,0,0,0,0,0,0,432.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,0,0,275,0,0,0,0,0,0,0,0,0,0,432.95,0,0,432.95,0,0,0,0,0,275,8748,0,9455.95,0,NA,0.33,NA,"",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,432.95
"4",4,0,4,2008,"06801VNDRB31TAY",110000317586,"VANDERBILT CHEMICALS LLC","31 TAYLOR AVE","BETHEL","FAIRFIELD","CT",6801,NA,NA,41.36697,-73.41434,"NO",325,"Chemicals",NA,NA,NA,NA,NA,NA,325998,0,NA,0,0,0,1308206784900,"DIETHANOLAMINE","000111422",27516,"YES","TRI","NO",0,"NO","A","Pounds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,"RT VANDERBILT HOLDING CO INC","006991871",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"5",5,0,5,2008,"06801VNDRB31TAY",110000317586,"VANDERBILT CHEMICALS LLC","31 TAYLOR AVE","BETHEL","FAIRFIELD","CT",6801,NA,NA,41.36697,-73.41434,"NO",325,"Chemicals",NA,NA,NA,NA,NA,NA,325998,0,NA,0,0,0,1308206784860,"CERTAIN GLYCOL ETHERS","N230",649541,"YES","TRI","NO",0,"NO","A","Pounds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,"RT VANDERBILT HOLDING CO INC","006991871",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"6",6,0,6,2008,"06111DVNCD681NM",110002497218,"ADVANCED ADHESIVE SYSTEMS INC","681 NORTH MOUNTAIN RD","NEWINGTON","HARTFORD","CT",6111,NA,NA,41.721652,-72.717014,"NO",325,"Chemicals",NA,NA,NA,NA,NA,NA,325520,0,NA,0,0,0,1308206359450,"N-METHYL-2-PYRROLIDONE","000872504",72744,"NO","TRI","NO",0,"NO","A","Pounds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,"",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"7",7,0,7,2008,"06111DVNCD681NM",110002497218,"ADVANCED ADHESIVE SYSTEMS INC","681 NORTH MOUNTAIN RD","NEWINGTON","HARTFORD","CT",6111,NA,NA,41.721652,-72.717014,"NO",325,"Chemicals",NA,NA,NA,NA,NA,NA,325520,0,NA,0,0,0,1308206359300,"BARIUM COMPOUNDS","N040",649426,"NO","TRI","NO",3,"NO","A","Pounds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,"",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"8",8,1,8,2008,"06383FDRLPINLAN",110000316024,"FUSION PAPERBOARD - CONNECTICUT LLC","130 INLAND RD","VERSAILLES","NEW LONDON","CT",6383,NA,NA,41.623709,-72.043131,"NO",322,"Paper",NA,NA,NA,NA,NA,NA,322130,0,NA,0,0,0,1308207100920,"POLYCYCLIC AROMATIC COMPOUNDS","N590",649749,"YES","PBT","NO",0,"YES","R","Pounds",0,0.1898,0,0,0,0,0,0,0,0,0,0,0,0,0.1898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1898,0,0,0.1898,0,0,0,0,0,0,0,0,0.1898,0,NA,0,"FUSION PAK LLC",NA,NA,9,1,21500,1,90010215001,"Block Group 1","G5030","S",187758,0,41.0539497,-73.5481508,102,103,"1500000US090010215001","Block Group 1, Census Tract 215, Fairfield County, Connecticut",1641,147,20,87,188,71,75,103,42,908,733,0,"yes",1641,752,329,417,6,0,0,0,0,889,346,0,0,0,0,461,82,0,0,1,0,0,0,0,90010215001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.1898
"9",9,1,9,2008,"06770XMTCR7GREA",110002487568,"DEXMET CORP","7 GREATHILL RD","NAUGATUCK","NEW HAVEN","CT",6770,NA,NA,41.505456,-73.018879,"NO",332,"Fabricated Metals",NA,NA,NA,NA,NA,NA,332116,0,NA,0,0,0,1308206252940,"TRICHLOROETHYLENE","000079016",7526,"YES","TRI","NO",0,"YES","R","Pounds",6080.22,0,0,0,0,0,0,0,0,0,0,0,0,0,6080.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9878,0,9878,0,0,0,0,0,0,0,6080.22,0,0,6080.22,0,0,0,9878,0,0,0,0,15958.22,0,NA,0.85,NA,NA,NA,9,1,21500,1,90010215001,"Block Group 1","G5030","S",187758,0,41.0539497,-73.5481508,102,103,"1500000US090010215001","Block Group 1, Census Tract 215, Fairfield County, Connecticut",1641,147,20,87,188,71,75,103,42,908,733,0,"yes",1641,752,329,417,6,0,0,0,0,889,346,0,0,0,0,461,82,0,0,1,0,0,0,0,90010215001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6080.22
"10",10,0,10,2008,"06473TLCNC377SA",110008053943,"TILCON CONNECTICUT INC","377 SACKETT POINT RD","NORTH HAVEN","NEW HAVEN","CT",6473,NA,NA,41.36769,-72.87814,"NO",324,"Petroleum",NA,NA,NA,NA,NA,NA,324121,0,NA,0,0,0,1308206434240,"POLYCYCLIC AROMATIC COMPOUNDS","N590",649749,"YES","PBT","NO",0,"YES","R","Pounds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,"OLDCASTLE INC","023665045",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
