GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,AF2LE001,AF2UE001,AF2UE002,AF2UE003,AF2UE004,AF2UE005,AF2UE006,AF2UE007,AF2UE008,AF2UE009,AF2UE010,AF2UE011,AF2UE012,AF2UE013,AF2UE014,AF2UE015,AF2UE016,AF2UE017,AF2UE018,AF2UE019,AF2UE020,AF2UE021,AF43E001,AF43E002,AF43E003,AF43E004,AF43E005,AF43E006,AF43E007,AF43E008,NAME_M,AF2LM001,AF2UM001,AF2UM002,AF2UM003,AF2UM004,AF2UM005,AF2UM006,AF2UM007,AF2UM008,AF2UM009,AF2UM010,AF2UM011,AF2UM012,AF2UM013,AF2UM014,AF2UM015,AF2UM016,AF2UM017,AF2UM018,AF2UM019,AF2UM020,AF2UM021,AF43M001,AF43M002,AF43M003,AF43M004,AF43M005,AF43M006,AF43M007,AF43M008
"G09000100101011","2012-2016",,,"Connecticut","09","Fairfield County","001",,,"010101","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 101.01, Fairfield County, Connecticut",827,827,827,778,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,827,21,16,0,19,12,0,759,"Block Group 1, Census Tract 101.01, Fairfield County, Connecticut",291,291,291,277,12,12,79,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,291,23,24,12,32,20,12,301
"G09000100101012","2012-2016",,,"Connecticut","09","Fairfield County","001",,,"010101","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 101.01, Fairfield County, Connecticut",642,642,619,585,0,0,34,0,0,0,0,0,23,23,0,0,0,0,0,0,0,0,642,26,21,0,19,0,0,576,"Block Group 2, Census Tract 101.01, Fairfield County, Connecticut",126,126,129,128,12,12,39,12,12,12,12,12,37,37,12,12,12,12,12,12,12,12,126,42,32,12,30,12,12,130
"G09000100101013","2012-2016",,,"Connecticut","09","Fairfield County","001",,,"010101","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 101.01, Fairfield County, Connecticut",1291,1291,1196,997,21,10,80,0,0,88,1,87,95,94,0,0,0,0,1,0,0,0,1264,87,96,1,49,0,11,1020,"Block Group 3, Census Tract 101.01, Fairfield County, Connecticut",292,292,282,241,31,15,62,12,12,113,3,112,103,103,12,12,12,12,2,12,12,12,276,59,104,2,79,12,17,231
"G09000100101014","2012-2016",,,"Connecticut","09","Fairfield County","001",,,"010101","4",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 101.01, Fairfield County, Connecticut",1372,1372,1301,1173,25,11,92,0,0,0,0,0,71,58,0,0,0,0,13,0,0,0,1104,108,50,3,19,35,0,889,"Block Group 4, Census Tract 101.01, Fairfield County, Connecticut",309,309,305,291,24,18,75,12,12,12,12,12,61,56,12,12,12,12,22,12,12,12,291,94,78,7,30,55,12,268
"G09000100101021","2012-2016",,,"Connecticut","09","Fairfield County","001",,,"010102","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 101.02, Fairfield County, Connecticut",1305,1305,1216,1111,0,0,105,0,0,0,0,0,89,81,0,0,0,0,0,8,0,8,1305,88,0,40,0,0,91,1086,"Block Group 1, Census Tract 101.02, Fairfield County, Connecticut",260,260,258,241,12,12,98,12,12,12,12,12,93,92,12,12,12,12,12,13,12,13,260,90,12,59,12,12,132,257
"G09000100101022","2012-2016",,,"Connecticut","09","Fairfield County","001",,,"010102","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 101.02, Fairfield County, Connecticut",1692,1692,1665,1424,72,9,135,0,0,25,0,25,27,27,0,0,0,0,0,0,0,0,1676,67,45,0,65,19,0,1480,"Block Group 2, Census Tract 101.02, Fairfield County, Connecticut",263,263,260,287,108,13,89,12,12,40,12,40,44,44,12,12,12,12,12,12,12,12,261,83,72,12,95,21,12,270
"G09000100101023","2012-2016",,,"Connecticut","09","Fairfield County","001",,,"010102","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 101.02, Fairfield County, Connecticut",1177,1177,1153,983,27,0,143,0,0,0,0,0,24,22,0,0,0,0,2,0,0,0,1176,65,72,1,2,22,0,1014,"Block Group 3, Census Tract 101.02, Fairfield County, Connecticut",263,263,261,252,31,12,128,12,12,12,12,12,23,22,12,12,12,12,6,12,12,12,263,64,59,4,4,24,12,259
"G09000100102011","2012-2016",,,"Connecticut","09","Fairfield County","001",,,"010201","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 102.01, Fairfield County, Connecticut",1082,1082,972,874,15,0,76,0,0,7,0,7,110,15,12,0,0,0,44,39,0,39,1082,25,13,0,27,0,0,1017,"Block Group 1, Census Tract 102.01, Fairfield County, Connecticut",245,245,247,229,23,12,93,12,12,11,12,11,104,22,18,12,12,12,69,57,12,57,245,41,20,12,43,12,12,248
"G09000100102012","2012-2016",,,"Connecticut","09","Fairfield County","001",,,"010201","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 102.01, Fairfield County, Connecticut",961,961,868,806,23,0,28,0,0,11,0,11,93,80,0,0,0,0,13,0,0,0,948,30,37,20,0,7,0,854,"Block Group 2, Census Tract 102.01, Fairfield County, Connecticut",176,176,174,171,38,12,36,12,12,16,12,16,67,67,12,12,12,12,30,12,12,12,185,40,49,32,12,11,12,177
"G09000100102013","2012-2016",,,"Connecticut","09","Fairfield County","001",,,"010201","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 102.01, Fairfield County, Connecticut",1234,1234,1126,1036,10,0,80,0,0,0,0,0,108,73,0,0,35,0,0,0,0,0,1053,43,36,0,7,0,0,967,"Block Group 3, Census Tract 102.01, Fairfield County, Connecticut",260,260,269,269,14,12,63,12,12,12,12,12,93,67,12,12,53,12,12,12,12,12,231,69,59,12,11,12,12,235
