"TREND_LOCATION","POLLUTANT","MAJOR_SOURCE_TYPE","TREND_SECTOR","2002_EMISSION_TONS","2005_EMISSION_TONS","2008_EMISSION_TONS","2011_EMISSION_TONS","2014_EMISSION_TONS"
"National","Acrolein","Fire Sources","Wildfires",17365,13825,15120.92,20753.62,21490.49
"National","Acrolein","Mobile Sources","Non-Road",831,1587,1782.61,1738.75,3955.68
"National","Acrolein","Mobile Sources","On-Road",3253,2750,2799.31,3027.11,2560.19
"National","Acrolein","Stationary Sources","Fuel Combustion - Electric Generation",167,176,299.95,277.21,298.89
"National","Acrolein","Stationary Sources","Fuel Combustion - Other",770,1911,3253.07,3419.31,3152.87
"National","Acrolein","Stationary Sources","Industrial and Other Processes",5673,11029,19997.96,20918.97,24934.39
"National","Ammonia","Fire Sources","Wildfires",224739,129925,198111.68,203251.77,171590.94
"National","Ammonia","Mobile Sources","Non-Road",2674,2773,3608.12,3278.78,2794.43
"National","Ammonia","Mobile Sources","On-Road",155227,145797,137707.39,123717.57,108706.02
"National","Ammonia","Stationary Sources","Fuel Combustion - Electric Generation",28863,25459,28211.52,25281.89,25582.00
"National","Ammonia","Stationary Sources","Fuel Combustion - Other",35093,37308,75811.64,78845.84,82810.86
"National","Ammonia","Stationary Sources","Industrial and Other Processes",3547521,3590290,3915870.86,3797538.60,3180989.97
"National","Benzene","Fire Sources","Wildfires",46081,36682,40120.38,55065.64,25339.64
"National","Benzene","Mobile Sources","Non-Road",140547,63815,52125.38,39802.15,39030.03
"National","Benzene","Mobile Sources","On-Road",120334,118467,85872.43,69699.67,59428.27
"National","Benzene","Stationary Sources","Fuel Combustion - Electric Generation",644,685,825.16,671.89,622.86
"National","Benzene","Stationary Sources","Fuel Combustion - Other",20544,20674,21853.07,21911.61,18344.82
"National","Benzene","Stationary Sources","Industrial and Other Processes",103229,64474,59756.66,96245.63,66367.70
"National","Carbon Monoxide","Fire Sources","Wildfires",14051517,7900048,12200117.98,12701425.83,10487023.57
"National","Carbon Monoxide","Mobile Sources","Non-Road",22624295,21903197,17884237.22,14948952.02,13261697.40
"National","Carbon Monoxide","Mobile Sources","On-Road",51610938,42825714,33156468.15,27355394.76,24436506.21
"National","Carbon Monoxide","Stationary Sources","Fuel Combustion - Electric Generation",656593,642663,728480.11,784388.45,730540.83
"National","Carbon Monoxide","Stationary Sources","Fuel Combustion - Other",4817187,4482455,3647475.24,3813340.24,3334303.06
"National","Carbon Monoxide","Stationary Sources","Industrial and Other Processes",8272319,10791812,12038310.41,14158072.74,13395957.97
"National","Chromium VI Compounds","Mobile Sources","Non-Road",3,1,5.97,5.64,1.81
"National","Chromium VI Compounds","Mobile Sources","On-Road",3,2,11.05,0.26,0.09
"National","Chromium VI Compounds","Stationary Sources","Fuel Combustion - Electric Generation",39,38,31.51,23.65,11.76
"National","Chromium VI Compounds","Stationary Sources","Fuel Combustion - Other",22,11,8.33,4.33,2.63
"National","Chromium VI Compounds","Stationary Sources","Industrial and Other Processes",26,28,61.64,40.24,22.78
"National","Ethylene Oxide","Stationary Sources","Fuel Combustion - Electric Generation",0,0,0.16,0.02,0.02
"National","Ethylene Oxide","Stationary Sources","Fuel Combustion - Other",0,0,2.55,8.51,0.02
"National","Ethylene Oxide","Stationary Sources","Industrial and Other Processes",716,608,422.95,289.36,153.15
"National","Formaldehyde","Fire Sources","Wildfires",105482,83962,91831.13,126039.13,129588.70
"National","Formaldehyde","Mobile Sources","Non-Road",72212,43313,37439.28,30406.67,47137.39
"National","Formaldehyde","Mobile Sources","On-Road",51133,59558,47711.47,44753.21,38940.97
"National","Formaldehyde","Stationary Sources","Fuel Combustion - Electric Generation",915,796,1537.12,1952.04,2223.50
"National","Formaldehyde","Stationary Sources","Fuel Combustion - Other",12682,27300,31363.35,33441.67,29523.53
"National","Formaldehyde","Stationary Sources","Industrial and Other Processes",31986,63872,96450.08,152431.22,158511.16
"National","Lead","Mobile Sources","Non-Road",465,496,557.34,489.97,460.88
"National","Lead","Mobile Sources","On-Road",0,0,0.00,0.00,1.80
"National","Lead","Stationary Sources","Fuel Combustion - Electric Generation",227,28,52.46,39.70,46.10
"National","Lead","Stationary Sources","Fuel Combustion - Other",137,94,60.51,42.18,49.19
"National","Lead","Stationary Sources","Industrial and Other Processes",848,576,279.60,241.54,172.44
"National","Nitrogen Oxides","Fire Sources","Wildfires",113619,93809,96370.08,184802.42,119147.15
