"Data Source: 2017 Updated Dataset (released April 2019) "
" "
"Facility name","TRI ID","Address","City","County","State","Zip Code","Year","Chemical","CAS","Federal (F) or Commercial (C)","Form Type (Form R or A)","Industry","Fugitive Air","Stack Air","Total Air","Surface Water Discharge","Underground Injection","Land Disposal","Total on-site release","Off-site release","Total on- and off-site releases","Transfer to recycling","Transfer to energy recovery","Transfer to treatment","Transfer to POTWs","Other off-site transfer","Total transfers off-site for waste management","Recycled on-site","Recycled off-site","Energy recovery on-site","Energy recovery off-site","Treated on-site","Treated off-site","Quantity released on- and off-site","Total production-related waste managed","Non production-related waste managed"
"PSEG POWER CONNECTICUT LLC BRIDGEPORT HARBOR STATION","06604BRDGP1ATLA","1 ATLANTIC ST","BRIDGEPORT","FAIRFIELD","CT","'06604'","1998","HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS ONLY)","'007647010'","C","R","NAICS 2211 - Electric Utilities","          .0000000","    340000.0000000","    340000.0000000","          .0000000","          .0000000","          .0000000","    340000.0000000",".","    340000.0000000",".",".",".","          .0000000","          .0000000","          .0000000","          .0000000","             .0000000","          .0000000","          .0000000","          .0000000","          .0000000","    340000.0000000","    340000.0000000","          .0000000"
"PSEG POWER CONNECTICUT LLC BRIDGEPORT HARBOR STATION","06604BRDGP1ATLA","1 ATLANTIC ST","BRIDGEPORT","FAIRFIELD","CT","'06604'","1998","SULFURIC ACID (1994 AND AFTER ACID AEROSOLS ONLY)","'007664939'","C","R","NAICS 2211 - Electric Utilities","          .0000000","    179000.0000000","    179000.0000000","          .0000000","          .0000000","          .0000000","    179000.0000000",".","    179000.0000000",".",".",".","          .0000000","          .0000000","          .0000000","          .0000000","             .0000000","          .0000000","          .0000000","          .0000000","          .0000000","    179000.0000000","    179000.0000000","          .0000000"
"PSEG POWER CONNECTICUT LLC BRIDGEPORT HARBOR STATION","06604BRDGP1ATLA","1 ATLANTIC ST","BRIDGEPORT","FAIRFIELD","CT","'06604'","1999","NICKEL COMPOUNDS","'N495'","C","R","NAICS 2211 - Electric Utilities","          .0000000","       810.0000000","       810.0000000","          .0000000","          .0000000","          .0000000","       810.0000000","     26000.0000000","     26810.0000000",".",".",".","          .0000000","     26000.0000000","          .0000000","             .0000000","          .0000000","          .0000000","          .0000000","          .0000000","     26810.0000000","     26810.0000000","          .0000000"
"PSEG POWER CONNECTICUT LLC BRIDGEPORT HARBOR STATION","06604BRDGP1ATLA","1 ATLANTIC ST","BRIDGEPORT","FAIRFIELD","CT","'06604'","1999","NICKEL COMPOUNDS","'N495'","C","R","NAICS 2211 - Electric Utilities","          .0000000","       677.0000000","       677.0000000","       239.0000000","          .0000000","          .0000000","       916.0000000","     24831.0000000","     25747.0000000",".",".",".","          .0000000","     24831.0000000","          .0000000","             .0000000","          .0000000","          .0000000","          .0000000","     24831.0000000","       916.0000000","     25747.0000000","          .0000000"
"PSEG POWER CONNECTICUT LLC BRIDGEPORT HARBOR STATION","06604BRDGP1ATLA","1 ATLANTIC ST","BRIDGEPORT","FAIRFIELD","CT","'06604'","1999","SULFURIC ACID (1994 AND AFTER ACID AEROSOLS ONLY)","'007664939'","C","R","NAICS 2211 - Electric Utilities","          .0000000","     27800.0000000","     27800.0000000","          .0000000","          .0000000","          .0000000","     27800.0000000",".","     27800.0000000",".",".","          .0000000","          .0000000","          .0000000","          .0000000","          .0000000","             .0000000","          .0000000","          .0000000","          .0000000","          .0000000","     27800.0000000","     27800.0000000","          .0000000"
"PSEG POWER CONNECTICUT LLC BRIDGEPORT HARBOR STATION","06604BRDGP1ATLA","1 ATLANTIC ST","BRIDGEPORT","FAIRFIELD","CT","'06604'","2000","BENZO(G,H,I)PERYLENE","'000191242'","C","R","NAICS 2211 - Electric Utilities","          .0000000","          .0000000","          .0000000","          .0000000","          .0000000","          .0000000","          .0000000","        23.0000000","        23.0000000","        26.0000000",".","          .0000000","          .0000000","          .0000000","        49.0000000","          .0000000","           26.0000000","          .0000000","          .0000000","          .0000000","          .0000000","        23.0000000","        49.0000000","          .0000000"
"PSEG POWER CONNECTICUT LLC BRIDGEPORT HARBOR STATION","06604BRDGP1ATLA","1 ATLANTIC ST","BRIDGEPORT","FAIRFIELD","CT","'06604'","2000","DIOXIN AND DIOXIN-LIKE COMPOUNDS","'N150'","C","R","NAICS 2211 - Electric Utilities","          .0000000","          .0028524","          .0028524","          .0000000","          .0000000","          .0000000","          .0028524",".","          .0028524",".",".","          .0000000","          .0000000","          .0000000","          .0000000","          .0000000","             .0000000","          .0000000","          .0000000","          .0000000","          .0000000","          .0028524","          .0028524","          .0000000"
"PSEG POWER CONNECTICUT LLC BRIDGEPORT HARBOR STATION","06604BRDGP1ATLA","1 ATLANTIC ST","BRIDGEPORT","FAIRFIELD","CT","'06604'","2000","HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS ONLY)","'007647010'","C","R","NAICS 2211 - Electric Utilities","          .0000000","    726416.0000000","    726416.0000000","          .0000000","          .0000000","          .0000000","    726416.0000000",".","    726416.0000000",".",".","          .0000000","          .0000000","          .0000000","          .0000000","          .0000000","             .0000000","          .0000000","          .0000000","          .0000000","          .0000000","    726416.0000000","    726416.0000000","          .0000000"
"PSEG POWER CONNECTICUT LLC BRIDGEPORT HARBOR STATION","06604BRDGP1ATLA","1 ATLANTIC ST","BRIDGEPORT","FAIRFIELD","CT","'06604'","2000","MERCURY COMPOUNDS","'N458'","C","R","NAICS 2211 - Electric Utilities","          .0000000","        31.8000000","        31.8000000","          .2000000","          .0000000","          .0000000","        32.0000000","        15.1000000","        47.1000000","          .1000000",".",".","          .0000000","          .0000000","        15.2000000","          .0000000","             .1000000","          .0000000","          .0000000","          .0000000","        15.1000000","        32.0000000","        47.2000000","          .0000000"
"PSEG POWER CONNECTICUT LLC BRIDGEPORT HARBOR STATION","06604BRDGP1ATLA","1 ATLANTIC ST","BRIDGEPORT","FAIRFIELD","CT","'06604'","2000","POLYCYCLIC AROMATIC COMPOUNDS","'N590'","C","R","NAICS 2211 - Electric Utilities","          .1000000","         2.0000000","         2.1000000","          .0000000","          .0000000","          .0000000","         2.1000000","       275.0000000","       277.1000000","       306.0000000",".","          .0000000","          .0000000","          .0000000","       581.0000000","          .0000000","          306.0000000","          .0000000","          .0000000","          .0000000","          .0000000","       277.1000000","       583.1000000","          .0000000"
"PSEG POWER CONNECTICUT LLC BRIDGEPORT HARBOR STATION","06604BRDGP1ATLA","1 ATLANTIC ST","BRIDGEPORT","FAIRFIELD","CT","'06604'","2001","BENZO(G,H,I)PERYLENE","'000191242'","C","R","NAICS 2211 - Electric Utilities","          .0000000","          .0000000","          .0000000","          .0000000","          .0000000","          .0000000","          .0000000","        29.2000000","        29.2000000","        14.2000000",".","          .0000000","          .0000000","          .0000000","        43.4000000","          .0000000","           14.2000000","          .0000000","          .0000000","          .0000000","          .0000000","        29.2000000","        43.4000000","          .0000000"
"PSEG POWER CONNECTICUT LLC BRIDGEPORT HARBOR STATION","06604BRDGP1ATLA","1 ATLANTIC ST","BRIDGEPORT","FAIRFIELD","CT","'06604'","2001","DIOXIN AND DIOXIN-LIKE COMPOUNDS","'N150'","C","R","NAICS 2211 - Electric Utilities","          .0000000","          .0033547","          .0033547","          .0000000","          .0000000","          .0000000","          .0033547",".","          .0033547",".",".","          .0000000","          .0000000","          .0000000","          .0000000","          .0000000","             .0000000","          .0000000","          .0000000","          .0000000","          .0000000","          .0033547","          .0033547","          .0000000"
"PSEG POWER CONNECTICUT LLC BRIDGEPORT HARBOR STATION","06604BRDGP1ATLA","1 ATLANTIC ST","BRIDGEPORT","FAIRFIELD","CT","'06604'","2001","HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS ONLY)","'007647010'","C","R","NAICS 2211 - Electric Utilities","          .0000000","    879010.0000000","    879010.0000000","          .0000000","          .0000000","          .0000000","    879010.0000000",".","    879010.0000000",".",".","          .0000000","          .0000000","          .0000000","          .0000000","          .0000000","             .0000000","          .0000000","          .0000000","          .0000000","          .0000000","    879010.0000000","    879010.0000000","          .0000000"
"PSEG POWER CONNECTICUT LLC BRIDGEPORT HARBOR STATION","06604BRDGP1ATLA","1 ATLANTIC ST","BRIDGEPORT","FAIRFIELD","CT","'06604'","2001","HYDROGEN FLUORIDE","'007664393'","C","R","NAICS 2211 - Electric Utilities","          .0000000","    106407.0000000","    106407.0000000","          .0000000","          .0000000","          .0000000","    106407.0000000",".","    106407.0000000",".",".","          .0000000","          .0000000","          .0000000","          .0000000","          .0000000","             .0000000","          .0000000","          .0000000","          .0000000","          .0000000","    106407.0000000","    106407.0000000","          .0000000"
"PSEG POWER CONNECTICUT LLC BRIDGEPORT HARBOR STATION","06604BRDGP1ATLA","1 ATLANTIC ST","BRIDGEPORT","FAIRFIELD","CT","'06604'","2001","LEAD COMPOUNDS","'N420'","C","R","NAICS 2211 - Electric Utilities","          .0000000","       397.0000000","       397.0000000","         2.4500000","          .0000000","          .0000000","       399.4500000","      2279.0000000","      2678.4500000","      1115.0000000",".",".","          .0000000","          .0000000","      3394.0000000","          .0000000","         1115.0000000","          .0000000","          .0000000","          .0000000","          .0000000","      2678.4500000","      3793.4500000","          .0000000"
"PSEG POWER CONNECTICUT LLC BRIDGEPORT HARBOR STATION","06604BRDGP1ATLA","1 ATLANTIC ST","BRIDGEPORT","FAIRFIELD","CT","'06604'","2001","MERCURY COMPOUNDS","'N458'","C","R","NAICS 2211 - Electric Utilities","          .0000000","        37.9000000","        37.9000000","          .4100000","          .0000000","          .0000000","        38.3100000","          .1000000","        38.4100000","       131.8000000",".",".","          .0000000","          .0000000","       131.9000000","          .0000000","          131.7000000","          .0000000","          .0000000","          .0000000","          .0000000","        38.5100000","       170.2100000","          .0000000"
"PSEG POWER CONNECTICUT LLC BRIDGEPORT HARBOR STATION","06604BRDGP1ATLA","1 ATLANTIC ST","BRIDGEPORT","FAIRFIELD","CT","'06604'","2001","POLYCYCLIC AROMATIC COMPOUNDS","'N590'","C","R","NAICS 2211 - Electric Utilities","          .1000000","         1.0400000","         1.1400000","          .0000000","          .0000000","          .0000000","         1.1400000","       350.0000000","       351.1400000","       170.0000000",".","          .0000000","          .0000000","          .0000000","       520.0000000","          .0000000","          170.0000000","          .0000000","          .0000000","          .0000000","          .0000000","       351.1400000","       521.1400000","          .0000000"
"PSEG POWER CONNECTICUT LLC BRIDGEPORT HARBOR STATION","06604BRDGP1ATLA","1 ATLANTIC ST","BRIDGEPORT","FAIRFIELD","CT","'06604'","2002","BENZO(G,H,I)PERYLENE","'000191242'","C","R","NAICS 2211 - Electric Utilities","          .0000000","          .0000000","          .0000000","          .0000000","          .0000000","          .0000000","          .0000000","        10.1100000","        10.1100000","        14.1900000",".","          .0000000","          .0000000","          .0000000","        24.3000000","          .0000000","           14.2000000","          .0000000","          .0000000","          .0000000","          .0000000","        10.1100000","        24.3100000","          .0000000"
"PSEG POWER CONNECTICUT LLC BRIDGEPORT HARBOR STATION","06604BRDGP1ATLA","1 ATLANTIC ST","BRIDGEPORT","FAIRFIELD","CT","'06604'","2002","DIOXIN AND DIOXIN-LIKE COMPOUNDS","'N150'","C","R","NAICS 2211 - Electric Utilities","          .0000000","          .0028886","          .0028886","          .0000000","          .0000000","          .0000000","          .0028886",".","          .0028886",".",".","          .0000000","          .0000000","          .0000000","          .0000000","          .0000000","             .0000000","          .0000000","          .0000000","          .0000000","          .0000000","          .0028886","          .0028886","          .0000000"
"PSEG POWER CONNECTICUT LLC BRIDGEPORT HARBOR STATION","06604BRDGP1ATLA","1 ATLANTIC ST","BRIDGEPORT","FAIRFIELD","CT","'06604'","2002","HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS ONLY)","'007647010'","C","R","NAICS 2211 - Electric Utilities","          .0000000","    293296.0000000","    293296.0000000","          .0000000","          .0000000","          .0000000","    293296.0000000",".","    293296.0000000",".",".","          .0000000","          .0000000","          .0000000","          .0000000","          .0000000","             .0000000","          .0000000","          .0000000","          .0000000","          .0000000","    293296.0000000","    293296.0000000","          .0000000"
"PSEG POWER CONNECTICUT LLC BRIDGEPORT HARBOR STATION","06604BRDGP1ATLA","1 ATLANTIC ST","BRIDGEPORT","FAIRFIELD","CT","'06604'","2002","LEAD COMPOUNDS","'N420'","C","R","NAICS 2211 - Electric Utilities","          .0000000","       346.9000000","       346.9000000","         2.1100000","          .0000000","          .0000000","       349.0100000","      1053.0000000","      1402.0100000","      1094.9000000",".",".","          .0000000","          .0000000","      2147.9000000","          .0000000","         1094.9000000","          .0000000","          .0000000","          .0000000","          .0000000","      1402.0100000","      2496.9100000","          .0000000"
"PSEG POWER CONNECTICUT LLC BRIDGEPORT HARBOR STATION","06604BRDGP1ATLA","1 ATLANTIC ST","BRIDGEPORT","FAIRFIELD","CT","'06604'","2002","MERCURY COMPOUNDS","'N458'","C","R","NAICS 2211 - Electric Utilities","          .0000000","        37.7360000","        37.7360000","          .0870000","          .0000000","          .0000000","        37.8230000","          .3080000","        38.1310000","          .0790000",".",".","          .0000000","          .0000000","          .3870000","          .0000000","             .0790000","          .0000000","          .0000000","          .0000000","          .0000000","        38.1310000","        38.2100000","          .0000000"
"PSEG POWER CONNECTICUT LLC BRIDGEPORT HARBOR STATION","06604BRDGP1ATLA","1 ATLANTIC ST","BRIDGEPORT","FAIRFIELD","CT","'06604'","2002","POLYCYCLIC AROMATIC COMPOUNDS","'N590'","C","R","NAICS 2211 - Electric Utilities","          .1000000","          .9700000","         1.0700000","          .0000000","          .0000000","          .0000000","         1.0700000","       121.3000000","       122.3700000","       170.1000000",".","          .0000000","          .0000000","          .0000000","       291.4000000","          .0000000","          170.1000000","          .0000000","          .0000000","          .0000000","          .0000000","       122.3700000","       292.4700000","          .0000000"
"PSEG POWER CONNECTICUT LLC BRIDGEPORT HARBOR STATION","06604BRDGP1ATLA","1 ATLANTIC ST","BRIDGEPORT","FAIRFIELD","CT","'06604'","2003","BENZO(G,H,I)PERYLENE","'000191242'","C","R","NAICS 2211 - Electric Utilities","          .0000000","          .0000000","          .0000000","          .0000000","          .0000000","          .0000000","          .0000000","         1.0000000","         1.0000000","        11.3850000",".","          .0000000","          .0000000","          .0000000","        12.3850000","          .0000000","           11.3850000","          .0000000","          .0000000","          .0000000","          .0000000","         1.0000000","        12.3850000","          .0000000"
"PSEG POWER CONNECTICUT LLC BRIDGEPORT HARBOR STATION","06604BRDGP1ATLA","1 ATLANTIC ST","BRIDGEPORT","FAIRFIELD","CT","'06604'","2003","DIOXIN AND DIOXIN-LIKE COMPOUNDS","'N150'","C","R","NAICS 2211 - Electric Utilities","          .0000000","          .0046900","          .0046900","          .0000000","          .0000000","          .0000000","          .0046900",".","          .0046900",".",".","          .0000000","          .0000000","          .0000000","          .0000000","          .0000000","             .0000000","          .0000000","          .0000000","          .0000000","          .0000000","          .0046900","          .0046900","          .0000000"
"PSEG POWER CONNECTICUT LLC BRIDGEPORT HARBOR STATION","06604BRDGP1ATLA","1 ATLANTIC ST","BRIDGEPORT","FAIRFIELD","CT","'06604'","2003","HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS ONLY)","'007647010'","C","R","NAICS 2211 - Electric Utilities","          .0000000","     84761.0000000","     84761.0000000","          .0000000","          .0000000","          .0000000","     84761.0000000",".","     84761.0000000",".",".","          .0000000","          .0000000","          .0000000","          .0000000","          .0000000","             .0000000","          .0000000","          .0000000","          .0000000","          .0000000","     84761.0000000","     84761.0000000","          .0000000"
"PSEG POWER CONNECTICUT LLC BRIDGEPORT HARBOR STATION","06604BRDGP1ATLA","1 ATLANTIC ST","BRIDGEPORT","FAIRFIELD","CT","'06604'","2003","LEAD COMPOUNDS","'N420'","C","R","NAICS 2211 - Electric Utilities","          .0000000","       567.0100000","       567.0100000","         1.8070000","          .0000000","          .0000000","       568.8170000","        95.9600000","       664.7770000","       228.3700000",".",".","          .0000000","          .0000000","       324.3300000","          .0000000","          228.3700000","          .0000000","          .0000000","          .0000000","          .0000000","       664.7870000","       893.1570000","          .0000000"
