Program, Transaction ID, Transaction Total, Transaction Type, Facility Name (Transferor), Account Number (Transferor), Account Name (Transferor), Facility ID (Transferor), State (Transferor), EPA Region (Transferor), Source Category (Transferor), Owner (Transferor), Representative (Transferor), Facility Name (Transferee), Account Number (Transferee), Account Name (Transferee), Facility ID (Transferee), State (Transferee), EPA Region (Transferee), Source Category (Transferee), Owner (Transferee), Representative (Transferee), Transaction Date, Allowance Vintage Year, Serial Number Start, Serial Number End, Block Totals
"ARP","125152","62451","Transfer from Legacy System","Bridgeport Harbor Station","00056800BHB1","Bridgeport Harbor Station","568","CT","1","Electric Utility","PSEG",,"Bridgeport Harbor Station","000568FACLTY","Bridgeport Harbor Station","568","CT","1",,"PSEG","Robert T Parnell (1436)","12/02/2006","2007","9439402","9439402","1",
"ARP","125152","62451","Transfer from Legacy System","Bridgeport Harbor Station","00056800BHB1","Bridgeport Harbor Station","568","CT","1","Electric Utility","PSEG",,"Bridgeport Harbor Station","000568FACLTY","Bridgeport Harbor Station","568","CT","1",,"PSEG","Robert T Parnell (1436)","12/02/2006","2007","1392606","1392622","17",
"ARP","125152","62451","Transfer from Legacy System","Bridgeport Harbor Station","00056800BHB1","Bridgeport Harbor Station","568","CT","1","Electric Utility","PSEG",,"Bridgeport Harbor Station","000568FACLTY","Bridgeport Harbor Station","568","CT","1",,"PSEG","Robert T Parnell (1436)","12/02/2006","2007","988714","990774","2061",
"ARP","125152","62451","Transfer from Legacy System","Bridgeport Harbor Station","00056800BHB1","Bridgeport Harbor Station","568","CT","1","Electric Utility","PSEG",,"Bridgeport Harbor Station","000568FACLTY","Bridgeport Harbor Station","568","CT","1",,"PSEG","Robert T Parnell (1436)","12/02/2006","2008","9439402","9439402","1",
"ARP","125152","62451","Transfer from Legacy System","Bridgeport Harbor Station","00056800BHB1","Bridgeport Harbor Station","568","CT","1","Electric Utility","PSEG",,"Bridgeport Harbor Station","000568FACLTY","Bridgeport Harbor Station","568","CT","1",,"PSEG","Robert T Parnell (1436)","12/02/2006","2008","1392606","1392622","17",
"ARP","125152","62451","Transfer from Legacy System","Bridgeport Harbor Station","00056800BHB1","Bridgeport Harbor Station","568","CT","1","Electric Utility","PSEG",,"Bridgeport Harbor Station","000568FACLTY","Bridgeport Harbor Station","568","CT","1",,"PSEG","Robert T Parnell (1436)","12/02/2006","2008","988714","990774","2061",
"ARP","125152","62451","Transfer from Legacy System","Bridgeport Harbor Station","00056800BHB1","Bridgeport Harbor Station","568","CT","1","Electric Utility","PSEG",,"Bridgeport Harbor Station","000568FACLTY","Bridgeport Harbor Station","568","CT","1",,"PSEG","Robert T Parnell (1436)","12/02/2006","2009","9439402","9439402","1",
"ARP","125152","62451","Transfer from Legacy System","Bridgeport Harbor Station","00056800BHB1","Bridgeport Harbor Station","568","CT","1","Electric Utility","PSEG",,"Bridgeport Harbor Station","000568FACLTY","Bridgeport Harbor Station","568","CT","1",,"PSEG","Robert T Parnell (1436)","12/02/2006","2009","988714","990774","2061",
"ARP","125152","62451","Transfer from Legacy System","Bridgeport Harbor Station","00056800BHB1","Bridgeport Harbor Station","568","CT","1","Electric Utility","PSEG",,"Bridgeport Harbor Station","000568FACLTY","Bridgeport Harbor Station","568","CT","1",,"PSEG","Robert T Parnell (1436)","12/02/2006","2009","1392606","1392622","17",
"ARP","125152","62451","Transfer from Legacy System","Bridgeport Harbor Station","00056800BHB1","Bridgeport Harbor Station","568","CT","1","Electric Utility","PSEG",,"Bridgeport Harbor Station","000568FACLTY","Bridgeport Harbor Station","568","CT","1",,"PSEG","Robert T Parnell (1436)","12/02/2006","2010","679619","679626","8",
"ARP","125152","62451","Transfer from Legacy System","Bridgeport Harbor Station","00056800BHB1","Bridgeport Harbor Station","568","CT","1","Electric Utility","PSEG",,"Bridgeport Harbor Station","000568FACLTY","Bridgeport Harbor Station","568","CT","1",,"PSEG","Robert T Parnell (1436)","12/02/2006","2010","951156","953229","2074",
"ARP","125152","62451","Transfer from Legacy System","Bridgeport Harbor Station","00056800BHB1","Bridgeport Harbor Station","568","CT","1","Electric Utility","PSEG",,"Bridgeport Harbor Station","000568FACLTY","Bridgeport Harbor Station","568","CT","1",,"PSEG","Robert T Parnell (1436)","12/02/2006","2011","679619","679626","8",
"ARP","125152","62451","Transfer from Legacy System","Bridgeport Harbor Station","00056800BHB1","Bridgeport Harbor Station","568","CT","1","Electric Utility","PSEG",,"Bridgeport Harbor Station","000568FACLTY","Bridgeport Harbor Station","568","CT","1",,"PSEG","Robert T Parnell (1436)","12/02/2006","2011","951156","953229","2074",
"ARP","125152","62451","Transfer from Legacy System","Bridgeport Harbor Station","00056800BHB1","Bridgeport Harbor Station","568","CT","1","Electric Utility","PSEG",,"Bridgeport Harbor Station","000568FACLTY","Bridgeport Harbor Station","568","CT","1",,"PSEG","Robert T Parnell (1436)","12/02/2006","2012","679619","679626","8",
"ARP","125152","62451","Transfer from Legacy System","Bridgeport Harbor Station","00056800BHB1","Bridgeport Harbor Station","568","CT","1","Electric Utility","PSEG",,"Bridgeport Harbor Station","000568FACLTY","Bridgeport Harbor Station","568","CT","1",,"PSEG","Robert T Parnell (1436)","12/02/2006","2012","951156","953229","2074",
"ARP","125152","62451","Transfer from Legacy System","Bridgeport Harbor Station","00056800BHB1","Bridgeport Harbor Station","568","CT","1","Electric Utility","PSEG",,"Bridgeport Harbor Station","000568FACLTY","Bridgeport Harbor Station","568","CT","1",,"PSEG","Robert T Parnell (1436)","12/02/2006","2013","679619","679626","8",
"ARP","125152","62451","Transfer from Legacy System","Bridgeport Harbor Station","00056800BHB1","Bridgeport Harbor Station","568","CT","1","Electric Utility","PSEG",,"Bridgeport Harbor Station","000568FACLTY","Bridgeport Harbor Station","568","CT","1",,"PSEG","Robert T Parnell (1436)","12/02/2006","2013","951156","953229","2074",
"ARP","125152","62451","Transfer from Legacy System","Bridgeport Harbor Station","00056800BHB1","Bridgeport Harbor Station","568","CT","1","Electric Utility","PSEG",,"Bridgeport Harbor Station","000568FACLTY","Bridgeport Harbor Station","568","CT","1",,"PSEG","Robert T Parnell (1436)","12/02/2006","2014","679619","679626","8",
"ARP","125152","62451","Transfer from Legacy System","Bridgeport Harbor Station","00056800BHB1","Bridgeport Harbor Station","568","CT","1","Electric Utility","PSEG",,"Bridgeport Harbor Station","000568FACLTY","Bridgeport Harbor Station","568","CT","1",,"PSEG","Robert T Parnell (1436)","12/02/2006","2014","951156","953229","2074",
"ARP","125152","62451","Transfer from Legacy System","Bridgeport Harbor Station","00056800BHB1","Bridgeport Harbor Station","568","CT","1","Electric Utility","PSEG",,"Bridgeport Harbor Station","000568FACLTY","Bridgeport Harbor Station","568","CT","1",,"PSEG","Robert T Parnell (1436)","12/02/2006","2015","951156","953229","2074",
"ARP","125152","62451","Transfer from Legacy System","Bridgeport Harbor Station","00056800BHB1","Bridgeport Harbor Station","568","CT","1","Electric Utility","PSEG",,"Bridgeport Harbor Station","000568FACLTY","Bridgeport Harbor Station","568","CT","1",,"PSEG","Robert T Parnell (1436)","12/02/2006","2015","679619","679626","8",
"ARP","125152","62451","Transfer from Legacy System","Bridgeport Harbor Station","00056800BHB1","Bridgeport Harbor Station","568","CT","1","Electric Utility","PSEG",,"Bridgeport Harbor Station","000568FACLTY","Bridgeport Harbor Station","568","CT","1",,"PSEG","Robert T Parnell (1436)","12/02/2006","2016","679619","679626","8",
"ARP","125152","62451","Transfer from Legacy System","Bridgeport Harbor Station","00056800BHB1","Bridgeport Harbor Station","568","CT","1","Electric Utility","PSEG",,"Bridgeport Harbor Station","000568FACLTY","Bridgeport Harbor Station","568","CT","1",,"PSEG","Robert T Parnell (1436)","12/02/2006","2016","951156","953229","2074",
"ARP","125152","62451","Transfer from Legacy System","Bridgeport Harbor Station","00056800BHB1","Bridgeport Harbor Station","568","CT","1","Electric Utility","PSEG",,"Bridgeport Harbor Station","000568FACLTY","Bridgeport Harbor Station","568","CT","1",,"PSEG","Robert T Parnell (1436)","12/02/2006","2017","951156","953229","2074",
"ARP","125152","62451","Transfer from Legacy System","Bridgeport Harbor Station","00056800BHB1","Bridgeport Harbor Station","568","CT","1","Electric Utility","PSEG",,"Bridgeport Harbor Station","000568FACLTY","Bridgeport Harbor Station","568","CT","1",,"PSEG","Robert T Parnell (1436)","12/02/2006","2017","679619","679626","8",
"ARP","125152","62451","Transfer from Legacy System","Bridgeport Harbor Station","00056800BHB1","Bridgeport Harbor Station","568","CT","1","Electric Utility","PSEG",,"Bridgeport Harbor Station","000568FACLTY","Bridgeport Harbor Station","568","CT","1",,"PSEG","Robert T Parnell (1436)","12/02/2006","2018","679619","679626","8",
"ARP","125152","62451","Transfer from Legacy System","Bridgeport Harbor Station","00056800BHB1","Bridgeport Harbor Station","568","CT","1","Electric Utility","PSEG",,"Bridgeport Harbor Station","000568FACLTY","Bridgeport Harbor Station","568","CT","1",,"PSEG","Robert T Parnell (1436)","12/02/2006","2018","951156","953229","2074",
"ARP","125152","62451","Transfer from Legacy System","Bridgeport Harbor Station","00056800BHB1","Bridgeport Harbor Station","568","CT","1","Electric Utility","PSEG",,"Bridgeport Harbor Station","000568FACLTY","Bridgeport Harbor Station","568","CT","1",,"PSEG","Robert T Parnell (1436)","12/02/2006","2019","679619","679626","8",
"ARP","125152","62451","Transfer from Legacy System","Bridgeport Harbor Station","00056800BHB1","Bridgeport Harbor Station","568","CT","1","Electric Utility","PSEG",,"Bridgeport Harbor Station","000568FACLTY","Bridgeport Harbor Station","568","CT","1",,"PSEG","Robert T Parnell (1436)","12/02/2006","2019","951156","953229","2074",
"ARP","125152","62451","Transfer from Legacy System","Bridgeport Harbor Station","00056800BHB1","Bridgeport Harbor Station","568","CT","1","Electric Utility","PSEG",,"Bridgeport Harbor Station","000568FACLTY","Bridgeport Harbor Station","568","CT","1",,"PSEG","Robert T Parnell (1436)","12/02/2006","2020","951156","953229","2074",
"ARP","125152","62451","Transfer from Legacy System","Bridgeport Harbor Station","00056800BHB1","Bridgeport Harbor Station","568","CT","1","Electric Utility","PSEG",,"Bridgeport Harbor Station","000568FACLTY","Bridgeport Harbor Station","568","CT","1",,"PSEG","Robert T Parnell (1436)","12/02/2006","2020","679619","679626","8",
"ARP","125152","62451","Transfer from Legacy System","Bridgeport Harbor Station","00056800BHB1","Bridgeport Harbor Station","568","CT","1","Electric Utility","PSEG",,"Bridgeport Harbor Station","000568FACLTY","Bridgeport Harbor Station","568","CT","1",,"PSEG","Robert T Parnell (1436)","12/02/2006","2021","951156","953229","2074",
"ARP","125152","62451","Transfer from Legacy System","Bridgeport Harbor Station","00056800BHB1","Bridgeport Harbor Station","568","CT","1","Electric Utility","PSEG",,"Bridgeport Harbor Station","000568FACLTY","Bridgeport Harbor Station","568","CT","1",,"PSEG","Robert T Parnell (1436)","12/02/2006","2021","679619","679626","8",
"ARP","125152","62451","Transfer from Legacy System","Bridgeport Harbor Station","00056800BHB1","Bridgeport Harbor Station","568","CT","1","Electric Utility","PSEG",,"Bridgeport Harbor Station","000568FACLTY","Bridgeport Harbor Station","568","CT","1",,"PSEG","Robert T Parnell (1436)","12/02/2006","2022","679619","679626","8",
"ARP","125152","62451","Transfer from Legacy System","Bridgeport Harbor Station","00056800BHB1","Bridgeport Harbor Station","568","CT","1","Electric Utility","PSEG",,"Bridgeport Harbor Station","000568FACLTY","Bridgeport Harbor Station","568","CT","1",,"PSEG","Robert T Parnell (1436)","12/02/2006","2022","951156","953229","2074",
"ARP","125152","62451","Transfer from Legacy System","Bridgeport Harbor Station","00056800BHB1","Bridgeport Harbor Station","568","CT","1","Electric Utility","PSEG",,"Bridgeport Harbor Station","000568FACLTY","Bridgeport Harbor Station","568","CT","1",,"PSEG","Robert T Parnell (1436)","12/02/2006","2023","679619","679626","8",
"ARP","125152","62451","Transfer from Legacy System","Bridgeport Harbor Station","00056800BHB1","Bridgeport Harbor Station","568","CT","1","Electric Utility","PSEG",,"Bridgeport Harbor Station","000568FACLTY","Bridgeport Harbor Station","568","CT","1",,"PSEG","Robert T Parnell (1436)","12/02/2006","2023","951156","953229","2074",
"ARP","125152","62451","Transfer from Legacy System","Bridgeport Harbor Station","00056800BHB1","Bridgeport Harbor Station","568","CT","1","Electric Utility","PSEG",,"Bridgeport Harbor Station","000568FACLTY","Bridgeport Harbor Station","568","CT","1",,"PSEG","Robert T Parnell (1436)","12/02/2006","2024","679619","679626","8",
"ARP","125152","62451","Transfer from Legacy System","Bridgeport Harbor Station","00056800BHB1","Bridgeport Harbor Station","568","CT","1","Electric Utility","PSEG",,"Bridgeport Harbor Station","000568FACLTY","Bridgeport Harbor Station","568","CT","1",,"PSEG","Robert T Parnell (1436)","12/02/2006","2024","951156","953229","2074",
