State, Facility Name, Facility ID (ORISPL), Account Number, Account Name, Program, Compliance Year, Compliance Year Allowances Allocated, Total Allowances Held in Account at Trading Deadline, Emissions (Tons), Other Deductions, Total Allowances Deducted, Allowances Carried Over to Next Year, Excess Emissions, Owner, Operator, Representative (Primary), Representative (Secondary)
"CT","Bridgeport Harbor Station","568","00056800BHB1","Bridgeport Harbor Station","ARP","2000","2079","1","0",,"0","1",,,,"Robert T Parnell (1436)","David Bosack (1435)",
"CT","Bridgeport Harbor Station","568","00056800BHB1","Bridgeport Harbor Station","ARP","2001","2079","0","0",,"0","0",,,,"Robert T Parnell (1436)","David Bosack (1435) (Ended Dec 10, 2001)<br>Robert Gilmore (2462) (Started Dec 11, 2001)",
"CT","Bridgeport Harbor Station","568","00056800BHB1","Bridgeport Harbor Station","ARP","2002","2079","1","0",,"0","1",,,,"Robert T Parnell (1436)","Robert Gilmore (2462) (Ended Dec 09, 2002)<br>Christine T Neely (1903) (Started Dec 10, 2002)",
"CT","Bridgeport Harbor Station","568","00056800BHB1","Bridgeport Harbor Station","ARP","2003","2079","2080","0",,"0","2080",,"PSEG (Owner/Operator)","PSEG (Owner/Operator)","Robert T Parnell (1436)","Christine T Neely (1903)",
"CT","Bridgeport Harbor Station","568","00056800BHB1","Bridgeport Harbor Station","ARP","2004","2079","0","0",,"0","0",,"PSEG (Owner/Operator)","PSEG (Owner/Operator)","Robert T Parnell (1436)","Christine T Neely (1903)",
"CT","Bridgeport Harbor Station","568","00056800BHB1","Bridgeport Harbor Station","ARP","2005","2079","0","0",,"0","0",,"PSEG (Owner/Operator)","PSEG (Owner/Operator)","Robert T Parnell (1436)","Christine T Neely (1903)",
"CT","Bridgeport Harbor Station","568","00056800BHB2","Bridgeport Harbor Station","ARP","2000","4727","530","474",,"474","56",,,,"Robert T Parnell (1436)","David Bosack (1435)",
"CT","Bridgeport Harbor Station","568","00056800BHB2","Bridgeport Harbor Station","ARP","2001","4727","500","435",,"435","65",,,,"Robert T Parnell (1436)","David Bosack (1435) (Ended Dec 10, 2001)<br>Robert Gilmore (2462) (Started Dec 11, 2001)",
"CT","Bridgeport Harbor Station","568","00056800BHB2","Bridgeport Harbor Station","ARP","2002","4727","2299","67",,"67","2232",,,,"Robert T Parnell (1436)","Robert Gilmore (2462) (Ended Dec 09, 2002)<br>Christine T Neely (1903) (Started Dec 10, 2002)",
"CT","Bridgeport Harbor Station","568","00056800BHB2","Bridgeport Harbor Station","ARP","2003","4727","6959","55",,"55","6904",,"PSEG (Owner/Operator)","PSEG (Owner/Operator)","Robert T Parnell (1436)","Christine T Neely (1903)",
