OBJECTID,Join_Count,TARGET_FID,JOIN_FID,YEAR,TRI_FACILI,FRS_ID,FACILITY_N,STREET_ADD,CITY,COUNTY,ST,ZIP,BIA_CODE,TRIBE,LATITUDE,LONGITUDE,FEDERAL_FA,INDUSTRY_S,INDUSTRY_1,PRIMARY_SI,SIC_2,SIC_3,SIC_4,SIC_5,SIC_6,PRIMARY_NA,NAICS_2,NAICS_3,NAICS_4,NAICS_5,NAICS_6,DOC_CTRL_N,CHEMICAL,CAS___COMP,SRS_ID,CLEAR_AIR_,CLASSIFICA,METAL,METAL_CATE,CARCINOGEN,FORM_TYPE,UNIT_OF_ME,F5_1_FUGITI,F5_2_STACK_,F5_3_WATER,F5_4_UNDERG,F5_4_1_UNDE,F5_4_2_UNDE,F5_5_1_LAND,F5_5_1A_RCR,F5_5_1B_OTH,F5_5_2_LAND,F5_5_3_SURF,F5_5_3A_RCR,F5_5_3B_Oth,F5_5_4_OTHE,ON_SITE_RE,F6_1_POTW_T,F6_1_POTW_1,F6_1_POTW_2,F6_2_M10,F6_2_M41,F6_2_M62,F6_2_M71,F6_2_M81,F6_2_M82,F6_2_M72,F6_2_M63,F6_2_M66,F6_2_M67,F6_2_M64,F6_2_M65,F6_2_M73,F6_2_M79,F6_2_M90,F6_2_M94,F6_2_M99,OFF_SITE_R,F6_2_M20,F6_2_M24,F6_2_M26,F6_2_M28,F6_2_M93,OFF_SITE_1,F6_2_M56,F6_2_M92,OFF_SITE_2,F6_2_M40,F6_2_M50,F6_2_M54,F6_2_M61,F6_2_M69,F6_2_M95,OFF_SITE_T,TOTAL_RELE,F8_1_RELEAS,F8_1A_ON_SI,F8_1B_ON_SI,F8_1C_OFF_S,F8_1D_OFF_S,F8_2_ENERGY,F8_3_ENERGY,F8_4_RECYCL,F8_5_RECYCL,F8_6_TREATM,F8_7_TREATM,PROD__WAST,F8_8_ONE_TI,PROD_RATIO,F8_9_PRODUC,PARENT_COM,PARENT_C_1,Field110,STATEFP00,COUNTYFP00,TRACTCE00,BLKGRPCE00,BKGPIDFP00,NAMELSAD00,MTFCC00,FUNCSTAT00,ALAND00,AWATER00,INTPTLAT00,INTPTLON00,ArcGIS_EJ_10_DBF_OID,ArcGIS_EJ_10_DBF_Field1,ArcGIS_EJ_10_DBF_GEOID,ArcGIS_EJ_10_DBF_GEO_label,ArcGIS_EJ_10_DBF_total_x,ArcGIS_EJ_10_DBF_under_50,ArcGIS_EJ_10_DBF_from_50_to,ArcGIS_EJ_10_DBF_from_75_to,ArcGIS_EJ_10_DBF_from_100_t,ArcGIS_EJ_10_DBF_from_125_t,ArcGIS_EJ_10_DBF_from_150_t,ArcGIS_EJ_10_DBF_from_175_t,ArcGIS_EJ_10_DBF_from_185_t,ArcGIS_EJ_10_DBF_from_200_u,ArcGIS_EJ_10_DBF_below_200,ArcGIS_EJ_10_DBF_fraction_b,ArcGIS_EJ_10_DBF_over_30_un,ArcGIS_EJ_10_DBF_total_y,ArcGIS_EJ_10_DBF_not_Hispan,ArcGIS_EJ_10_DBF_non_HL_whi,ArcGIS_EJ_10_DBF_non_HL_Bla,ArcGIS_EJ_10_DBF_non_HL_AIA,ArcGIS_EJ_10_DBF_non_HL_Asi,ArcGIS_EJ_10_DBF_non_HL_NHO,ArcGIS_EJ_10_DBF_non_HL_oth,ArcGIS_EJ_10_DBF_non_HL_2_p,ArcGIS_EJ_10_DBF_HL,ArcGIS_EJ_10_DBF_HL_white,ArcGIS_EJ_10_DBF_HL_Black,ArcGIS_EJ_10_DBF_HL_AIAN,ArcGIS_EJ_10_DBF_HL_Asian,ArcGIS_EJ_10_DBF_HL_NHOPI,ArcGIS_EJ_10_DBF_HL_other,ArcGIS_EJ_10_DBF_HL_2_plus,ArcGIS_EJ_10_DBF_percent_wh,ArcGIS_EJ_10_DBF_percent_Bl,ArcGIS_EJ_10_DBF_percent_HL,ArcGIS_EJ_10_DBF_percent_AI,ArcGIS_EJ_10_DBF_percent_As,ArcGIS_EJ_10_DBF_percent_NH,ArcGIS_EJ_10_DBF_percent_ot,ArcGIS_EJ_10_DBF_GEOID2_Tex
1,1,1,2468,2008,06492TMSMC358HA,110010337698.000000000000000,TIMES MICROWAVE SYSTEMS INC,358 HALL AVE,WALLINGFORD,NEW HAVEN,CT,6492, , ,41.460889999999999,-72.832679999999996,NO,336,Transportation Equipment, , , , , , ,336322,0, ,0,0,0,1308206746860.000000000000000,LEAD,007439921,149583,YES,PBT,YES,1,YES,R,Pounds,1.000000000000000,1.000000000000000,0.000000000000000,0,0,0,0,0,0,0,0,0,0.000000000000000,0.000000000000000,2.000000000000000,0.020000000000000,0.000000000000000,0.020000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0,0,0,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.020000000000000,0.000000000000000,89.000000000000000,0.000000000000000,0,0.000000000000000,89.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2.020000000000000,0,0,2.000000000000000,0.000000000000000,0.020000000000000,0,0.000000000000000,0.000000000000000,89.000000000000000,0.000000000000000,0.000000000000000,91.019999999999996,0.000000000000000, ,1.160000000000000,AMPHENOL CORP,177220647, ,09,009,175500,1,090091755001,Block Group 1,G5030,S,788757.000000000000000,206054.000000000000000,+41.4660210,-072.8299369,1971,1972,1500000US090091755001,"Block Group 1, Census Tract 1755, New Haven County, Connecticut",644,35,0,0,20,96,27,8,0,458,186,0,no,1098,1098,949,29,0,120,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,090091755001
2,1,2,830,2008,06340RWDCR839PO,110000315908.000000000000000,PCC STRUCTURALS,839 POQUONNOCK RD,GROTON,NEW LONDON,CT,6340, , ,41.345160000000000,-72.053719999999998,NO,331,Primary Metals, , , , , , ,331512,0, ,0,0,0,1308206523600.000000000000000,CHROMIUM,007440473,150060,YES,TRI,YES,1,YES,A,Pounds,0.000000000000000,0.000000000000000,0.000000000000000,0,0,0,0,0,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0,0,0,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, ,0.000000000000000,PRECISION CASTPARTS CORP,009027970, ,09,011,702700,9,090117027009,Block Group 9,G5030,S,7157973.000000000000000,905546.000000000000000,+41.3301660,-072.0459162,2356,2357,1500000US090117027009,"Block Group 9, Census Tract 7027, New London County, Connecticut",3456,91,49,81,189,149,82,48,84,2683,773,0,no,3727,3545,2884,230,19,266,0,0,146,182,48,55,0,0,0,57,22,1,0,0,0,0,0,0,090117027009
3,1,3,1829,2008,06787SMMTC1430W,110000317443.000000000000000,SUMMIT CORP OF AMERICA,1430 WATERBURY RD,THOMASTON,LITCHFIELD,CT,6787, , ,41.627769999999998,-73.068389999999994,NO,332,Fabricated Metals, , , , , , ,332813,0, ,0,0,0,1308207062490.000000000000000,CYANIDE COMPOUNDS,N106,649988,YES,TRI,NO,0,NO,R,Pounds,21.000000000000000,399.000000000000000,12.949999999999999,0,0,0,0,0,0,0,0,0,0.000000000000000,0.000000000000000,432.949999999999990,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0,0,0,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,275.000000000000000,0,0.000000000000000,275.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,432.949999999999990,0,0,432.949999999999990,0.000000000000000,0.000000000000000,0,0.000000000000000,0.000000000000000,275.000000000000000,8748.000000000000000,0.000000000000000,9455.950000000000700,0.000000000000000, ,0.330000000000000,NA, , ,09,005,349100,3,090053491003,Block Group 3,G5030,S,7006883.000000000000000,50786.000000000000000,+41.6417884,-073.0735851,1421,1422,1500000US090053491003,"Block Group 3, Census Tract 3491, Litchfield County, Connecticut",1192,13,12,12,10,92,51,0,34,968,224,0,no,1192,1160,1148,6,0,0,0,0,6,32,32,0,0,0,0,0,0,1,0,0,0,0,0,0,090053491003
4,1,4,466,2008,06801VNDRB31TAY,110000317586.000000000000000,VANDERBILT CHEMICALS LLC,31 TAYLOR AVE,BETHEL,FAIRFIELD,CT,6801, , ,41.366970000000002,-73.414339999999996,NO,325,Chemicals, , , , , , ,325998,0, ,0,0,0,1308206784900.000000000000000,DIETHANOLAMINE,000111422,27516,YES,TRI,NO,0,NO,A,Pounds,0.000000000000000,0.000000000000000,0.000000000000000,0,0,0,0,0,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0,0,0,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, ,0.000000000000000,RT VANDERBILT HOLDING CO INC,006991871, ,09,001,200200,2,090012002002,Block Group 2,G5030,S,1097454.000000000000000,0.000000000000000,+41.3651960,-073.4077122,531,532,1500000US090012002002,"Block Group 2, Census Tract 2002, Fairfield County, Connecticut",804,8,10,13,21,7,45,0,16,684,120,0,no,804,786,786,0,0,0,0,0,0,18,0,0,0,0,4,14,0,1,0,0,0,0,0,0,090012002002
5,1,5,466,2008,06801VNDRB31TAY,110000317586.000000000000000,VANDERBILT CHEMICALS LLC,31 TAYLOR AVE,BETHEL,FAIRFIELD,CT,6801, , ,41.366970000000002,-73.414339999999996,NO,325,Chemicals, , , , , , ,325998,0, ,0,0,0,1308206784860.000000000000000,CERTAIN GLYCOL ETHERS,N230,649541,YES,TRI,NO,0,NO,A,Pounds,0.000000000000000,0.000000000000000,0.000000000000000,0,0,0,0,0,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0,0,0,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, ,0.000000000000000,RT VANDERBILT HOLDING CO INC,006991871, ,09,001,200200,2,090012002002,Block Group 2,G5030,S,1097454.000000000000000,0.000000000000000,+41.3651960,-073.4077122,531,532,1500000US090012002002,"Block Group 2, Census Tract 2002, Fairfield County, Connecticut",804,8,10,13,21,7,45,0,16,684,120,0,no,804,786,786,0,0,0,0,0,0,18,0,0,0,0,4,14,0,1,0,0,0,0,0,0,090012002002
6,1,6,1672,2008,06111DVNCD681NM,110002497218.000000000000000,ADVANCED ADHESIVE SYSTEMS INC,681 NORTH MOUNTAIN RD,NEWINGTON,HARTFORD,CT,6111, , ,41.721651999999999,-72.717014000000006,NO,325,Chemicals, , , , , , ,325520,0, ,0,0,0,1308206359450.000000000000000,N-METHYL-2-PYRROLIDONE,000872504,72744,NO,TRI,NO,0,NO,A,Pounds,0.000000000000000,0.000000000000000,0.000000000000000,0,0,0,0,0,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0,0,0,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, ,0.000000000000000,NA, , ,09,003,494500,1,090034945001,Block Group 1,G5030,S,2869631.000000000000000,0.000000000000000,+41.7136287,-072.7141967,1032,1033,1500000US090034945001,"Block Group 1, Census Tract 4945, Hartford County, Connecticut",1057,48,28,0,4,10,12,12,47,896,161,0,no,1105,1022,970,26,0,19,0,0,7,83,65,0,0,0,0,18,0,1,0,0,0,0,0,0,090034945001
7,1,7,1672,2008,06111DVNCD681NM,110002497218.000000000000000,ADVANCED ADHESIVE SYSTEMS INC,681 NORTH MOUNTAIN RD,NEWINGTON,HARTFORD,CT,6111, , ,41.721651999999999,-72.717014000000006,NO,325,Chemicals, , , , , , ,325520,0, ,0,0,0,1308206359300.000000000000000,BARIUM COMPOUNDS,N040,649426,NO,TRI,NO,3,NO,A,Pounds,0.000000000000000,0.000000000000000,0.000000000000000,0,0,0,0,0,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0,0,0,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, ,0.000000000000000,NA, , ,09,003,494500,1,090034945001,Block Group 1,G5030,S,2869631.000000000000000,0.000000000000000,+41.7136287,-072.7141967,1032,1033,1500000US090034945001,"Block Group 1, Census Tract 4945, Hartford County, Connecticut",1057,48,28,0,4,10,12,12,47,896,161,0,no,1105,1022,970,26,0,19,0,0,7,83,65,0,0,0,0,18,0,1,0,0,0,0,0,0,090034945001
8,1,8,792,2008,06383FDRLPINLAN,110000316024.000000000000000,FUSION PAPERBOARD - CONNECTICUT LLC,130 INLAND RD,VERSAILLES,NEW LONDON,CT,6383, , ,41.623708999999998,-72.043131000000002,NO,322,Paper, , , , , , ,322130,0, ,0,0,0,1308207100920.000000000000000,POLYCYCLIC AROMATIC COMPOUNDS,N590,649749,YES,PBT,NO,0,YES,R,Pounds,0.000000000000000,0.189800000000000,0.000000000000000,0,0,0,0,0,0,0,0,0,0.000000000000000,0.000000000000000,0.189800000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0,0,0,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.189800000000000,0,0,0.189800000000000,0.000000000000000,0.000000000000000,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.189800000000000,0.000000000000000, ,0.000000000000000,FUSION PAK LLC,NA, ,09,011,711100,1,090117111001,Block Group 1,G5030,S,22853638.000000000000000,1247194.000000000000000,+41.6222743,-072.0658059,2399,2400,1500000US090117111001,"Block Group 1, Census Tract 7111, New London County, Connecticut",1419,19,19,17,35,39,39,6,11,1234,185,0,no,1424,1418,1385,10,23,0,0,0,0,6,0,6,0,0,0,0,0,1,0,0,0,0,0,0,090117111001
9,1,9,2168,2008,06770XMTCR7GREA,110002487568.000000000000000,DEXMET CORP,7 GREATHILL RD,NAUGATUCK,NEW HAVEN,CT,6770, , ,41.505456000000002,-73.018878999999998,NO,332,Fabricated Metals, , , , , , ,332116,0, ,0,0,0,1308206252940.000000000000000,TRICHLOROETHYLENE,000079016,7526,YES,TRI,NO,0,YES,R,Pounds,6080.220000000000300,0.000000000000000,0.000000000000000,0,0,0,0,0,0,0,0,0,0.000000000000000,0.000000000000000,6080.220000000000300,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0,0,0,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0,0.000000000000000,0.000000000000000,9878.000000000000000,0.000000000000000,9878.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,6080.220000000000300,0,0,6080.220000000000300,0.000000000000000,0.000000000000000,0,9878.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,15958.219999999999000,0.000000000000000, ,0.850000000000000,NA,NA, ,09,009,345100,4,090093451004,Block Group 4,G5030,S,5190888.000000000000000,0.000000000000000,+41.5075244,-073.0283552,2110,2111,1500000US090093451004,"Block Group 4, Census Tract 3451, New Haven County, Connecticut",1883,36,0,29,6,5,11,6,35,1755,128,0,no,1883,1827,1811,0,0,7,0,0,9,56,28,0,0,0,0,28,0,1,0,0,0,0,0,0,090093451004
10,1,10,2085,2008,06473TLCNC377SA,110008053943.000000000000000,TILCON CONNECTICUT INC,377 SACKETT POINT RD,NORTH HAVEN,NEW HAVEN,CT,6473, , ,41.367690000000003,-72.878140000000002,NO,324,Petroleum, , , , , , ,324121,0, ,0,0,0,1308206434240.000000000000000,POLYCYCLIC AROMATIC COMPOUNDS,N590,649749,YES,PBT,NO,0,YES,R,Pounds,0.000000000000000,0.000000000000000,0.000000000000000,0,0,0,0,0,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0,0,0,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, ,0.000000000000000,OLDCASTLE INC,023665045, ,09,009,167100,2,090091671002,Block Group 2,G5030,S,3215829.000000000000000,156475.000000000000000,+41.3727595,-072.8829181,1887,1888,1500000US090091671002,"Block Group 2, Census Tract 1671, New Haven County, Connecticut",1053,19,0,33,17,20,0,25,0,939,114,0,no,1053,980,841,71,12,56,0,0,0,73,61,0,0,0,0,12,0,1,0,0,0,0,0,0,090091671002
